phase,exp,wd_sched,budget_c,lambda0,best_test_acc,seed,diverged
SGD,e11_matched,cosine_up,0.33334326411577986,0.0008056,74.09,42,0
SGD,e11_matched,cosine_up,1.0001125488677254,0.002417,74.98,42,0
SGD,e11_matched,cosine_up,1.499961932000623,0.003625,76.05,42,0
SGD,e11_matched,cosine_up,1.9998113151335202,0.004833,75.94,42,0
SGD,e11_matched,cosine_up,2.500074480868348,0.006042,76.53,42,0
SGD,e11_matched,cosine_up,2.999923864001246,0.00725,76.52,42,0
SGD,e11_matched,cosine_up,4.000036412868972,0.009667,77.03,42,0
SGD,e11_matched,cosine_up,5.999847728002492,0.0145,77.62,42,0
SGD,e11_matched,cosine_up,8.99977159200374,0.02175,77.82,42,0
SGD,e11_matched,cosine_up,14.999619320006236,0.03625,77.45,42,0
SGD,e11_matched,cosine_up,25.000744808683486,0.06042,69.82,42,0
SGD,e11_matched,cosine_up,40.00036412868971,0.09667,55.75,42,0
SGD,e11_matched,cosine_up,59.99847728002494,0.145,53.46,42,0
SGD,e11_matched,iso_product,0.3332510622377206,0.0001158,74.18,42,0
SGD,e11_matched,iso_product,1.0000409682867715,0.0003475,75.16,42,0
SGD,e11_matched,iso_product,1.4999175616433522,0.0005212,75.73,42,0
SGD,e11_matched,iso_product,2.000081936573543,0.000695,75.78,42,0
SGD,e11_matched,iso_product,2.4999585299301255,0.0008687,76.14,42,0
SGD,e11_matched,iso_product,2.9986839969922707,0.001042,76.69,42,0
SGD,e11_matched,iso_product,4.000163873147086,0.00139,77.31,42,0
SGD,e11_matched,iso_product,6.0002458097206315,0.002085,77.68,42,0
SGD,e11_matched,iso_product,8.99892980671289,0.003127,77.83,42,0
SGD,e11_matched,iso_product,14.999175616433511,0.005212,78.01,42,0
SGD,e11_matched,iso_product,24.999585299301234,0.008687,57.74,42,0
SGD,e11_matched,iso_product,40.00163873147087,0.0139,39.63,42,0
SGD,e11_matched,iso_product,60.002458097206286,0.02085,31.43,42,0
SGD,e11_matched,linear_up,0.33332511684836236,0.0006773,74.09,42,0
SGD,e11_matched,linear_up,1.0000245643523882,0.002032,75.32,42,0
SGD,e11_matched,linear_up,1.500036846528582,0.003048,75.69,42,0
SGD,e11_matched,linear_up,2.0000491287047764,0.004064,75.94,42,0
SGD,e11_matched,linear_up,2.50006141088097,0.00508,76.22,42,0
SGD,e11_matched,linear_up,3.000073693057164,0.006096,76.98,42,0
SGD,e11_matched,linear_up,4.000098257409553,0.008128,77.53,42,0
SGD,e11_matched,linear_up,5.99916310996831,0.01219,77.91,42,0
SGD,e11_matched,linear_up,9.001205355317508,0.01829,77.83,42,0
SGD,e11_matched,linear_up,15.000368465285822,0.03048,78.08,42,0
SGD,e11_matched,linear_up,25.000614108809696,0.0508,76.59,42,0
SGD,e11_matched,linear_up,40.00098257409552,0.08128,59.5,42,0
SGD,e11_matched,linear_up,59.9916310996831,0.1219,40.49,42,0
SGD,e11_matched,step_up,0.33335187782263603,0.003975,73.88,42,0
SGD,e11_matched,step_up,0.9996363229297671,0.01192,74.73,42,0
SGD,e11_matched,step_up,1.5002931054709336,0.01789,74.68,42,0
SGD,e11_matched,step_up,2.000111266935817,0.02385,74.71,42,0
SGD,e11_matched,step_up,2.4999294284007005,0.02981,75.64,42,0
SGD,e11_matched,step_up,2.999747589865584,0.03577,76.4,42,0
SGD,e11_matched,step_up,4.000222533871634,0.0477,76.62,42,0
SGD,e11_matched,step_up,6.000333800807451,0.07155,73.3,42,0
SGD,e11_matched,step_up,8.998404148520468,0.1073,70.91,42,0
SGD,e11_matched,step_up,15.002931054709336,0.1789,66.2,42,0
SGD,e11_matched,step_up,24.999294284007004,0.2981,63.06,42,0
SGD,e11_matched,step_up,40.00222533871634,0.477,61.07,42,0
SGD,e11_matched,step_up,60.00333800807453,0.7155,54.83,42,0
SGD,e9_matched,fixed,1.0,0.0005982,75.33,42,0
SGDM,e11_matched,cosine_up,0.33334326411577986,0.0008056,75.57,42,0
SGDM,e11_matched,cosine_up,1.0001125488677254,0.002417,77.8,42,0
SGDM,e11_matched,cosine_up,1.499961932000623,0.003625,78.31,42,0
SGDM,e11_matched,cosine_up,1.9998113151335202,0.004833,78.11,42,0
SGDM,e11_matched,cosine_up,2.500074480868348,0.006042,77.69,42,0
SGDM,e11_matched,cosine_up,2.999923864001246,0.00725,76.94,42,0
SGDM,e11_matched,cosine_up,4.000036412868972,0.009667,75.43,42,0
SGDM,e11_matched,cosine_up,5.999847728002492,0.0145,70.5,42,0
SGDM,e11_matched,cosine_up,8.99977159200374,0.02175,59.92,42,0
SGDM,e11_matched,iso_product,1.4999175616433522,0.0005212,77.93,42,0
SGDM,e11_matched,iso_product,2.000081936573543,0.000695,78.19,42,0
SGDM,e11_matched,iso_product,2.4999585299301255,0.0008687,77.62,42,0
SGDM,e11_matched,iso_product,4.000163873147086,0.00139,75.42,42,0
SGDM,e11_matched,iso_product,6.0002458097206315,0.002085,70.04,42,0
SGDM,e11_matched,iso_product,8.99892980671289,0.003127,57.58,42,0
SGDM,e11_matched,linear_up,0.33332511684836236,0.0006773,75.84,42,0
SGDM,e11_matched,linear_up,1.0000245643523882,0.002032,77.81,42,0
SGDM,e11_matched,linear_up,1.500036846528582,0.003048,78.44,42,0
SGDM,e11_matched,linear_up,2.0000491287047764,0.004064,78.45,42,0
SGDM,e11_matched,linear_up,2.50006141088097,0.00508,77.77,42,0
SGDM,e11_matched,linear_up,3.000073693057164,0.006096,77.44,42,0
SGDM,e11_matched,linear_up,4.000098257409553,0.008128,76.18,42,0
SGDM,e11_matched,linear_up,5.99916310996831,0.01219,72.53,42,0
SGDM,e11_matched,linear_up,9.001205355317508,0.01829,64.49,42,0
SGDM,e11_matched,step_up,0.33335187782263603,0.003975,75.48,42,0
SGDM,e11_matched,step_up,0.9996363229297671,0.01192,77.58,42,0
SGDM,e11_matched,step_up,1.5002931054709336,0.01789,74.68,42,0
SGDM,e11_matched,step_up,2.000111266935817,0.02385,69.94,42,0
SGDM,e11_matched,step_up,2.4999294284007005,0.02981,65.94,42,0
SGDM,e11_matched,step_up,2.999747589865584,0.03577,64.4,42,0
SGDM,e11_matched,step_up,4.000222533871634,0.0477,64.49,42,0
SGDM,e11_matched,step_up,6.000333800807451,0.07155,61.06,42,0
SGDM,e11_matched,step_up,8.998404148520468,0.1073,57.99,42,0
SGDM,e9_matched,cosine,0.33334326411577964,0.000265,74.34,42,0
SGDM,e9_matched,cosine,1.00002979234734,0.000795,75.5,42,0
SGDM,e9_matched,cosine,3.000089377042018,0.002385,75.03,42,0
SGDM,e9_matched,fixed,1.0,0.0005982,76.72,42,0
SGDM,e9_matched,iso_product,0.3332510622377206,0.0001158,75.86,42,0
SGDM,e9_matched,iso_product,1.0000409682867715,0.0003475,78.22,42,0
SGDM,e9_matched,iso_product,2.9986839969922707,0.001042,77.5,42,0
SGDM,e9_matched,linear,0.3333390323231869,0.0002826,74.43,42,0
SGDM,e9_matched,linear,1.0000170969695603,0.0008478,76.44,42,0
SGDM,e9_matched,linear,2.9995794734531636,0.002543,75.53,42,0
SGDM,e9_matched,step,0.3333680883095604,0.0002399,74.16,42,0
SGDM,e9_matched,step,0.999965303658023,0.0007196,75.85,42,0
SGDM,e9_matched,step,3.0001738335153876,0.002159,73.97,42,0
