[2026-09-12 13:17:50] [INFO] sweep=e12_matched phase=sgdm gpus=[0, 2, 3, 7] seeds=[42] workers_per_gpu=2 model=resnet34 dataset=cifar100 n_cfgs=21
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=   linear_up lam0=0.001132 sum_eta_lambda=0.658 (0.333 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=      linear lam0=0.0004724 sum_eta_lambda=0.6582 (0.333 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape= iso_product lam0=0.0001936 sum_eta_lambda=0.6581 (0.333 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=   linear_up lam0=0.003397 sum_eta_lambda=1.975 (1.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=      linear lam0=0.001417 sum_eta_lambda=1.974 (1.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape= iso_product lam0=0.0005809 sum_eta_lambda=1.975 (1.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=   linear_up lam0=0.005095 sum_eta_lambda=2.962 (1.500 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=      linear lam0=0.002126 sum_eta_lambda=2.962 (1.500 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape= iso_product lam0=0.0008713 sum_eta_lambda=2.962 (1.500 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=   linear_up lam0=0.006794 sum_eta_lambda=3.949 (2.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=      linear lam0=0.002834 sum_eta_lambda=3.948 (2.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape= iso_product lam0=0.001162 sum_eta_lambda=3.95 (2.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=   linear_up lam0=0.008492 sum_eta_lambda=4.936 (2.500 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=      linear lam0=0.003543 sum_eta_lambda=4.936 (2.500 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape= iso_product lam0=0.001452 sum_eta_lambda=4.936 (2.500 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=   linear_up lam0=0.01019 sum_eta_lambda=5.923 (3.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=      linear lam0=0.004252 sum_eta_lambda=5.924 (3.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape= iso_product lam0=0.001743 sum_eta_lambda=5.925 (3.001 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=   linear_up lam0=0.01359 sum_eta_lambda=7.9 (4.001 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape=      linear lam0=0.005669 sum_eta_lambda=7.898 (4.000 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO]   plan resnet34/cifar100 mom=0.9 shape= iso_product lam0=0.002324 sum_eta_lambda=7.9 (4.001 C; anchor lam_ref=0.001)
[2026-09-12 13:17:50] [INFO] E8-e12_matched-sgdm: 21 configs, 21 already done, 0 to run
