setting,phase,fixed_C,iso_product_C,linear_C,linear_up_C,fixed_acc,iso_product_acc,linear_acc,linear_up_acc
mlp/cifar10/SGD,SGD,1.0,1.000024794962334,0.9998394576975578,1.0000665929438226,58.15,55.27,56.84,54.86
mlp/cifar10/SGDM,SGDM,1.0,1.0000247949623333,1.5001119880487,1.4999526909180976,56.86,58.67,55.71,58.8
mlp/mnist/SGD,SGD,1.0,1.0001969458996673,0.9998394576975581,1.0000665929438224,98.38,98.32,98.47,98.34
mlp/mnist/SGDM,SGDM,1.0,0.33334159832077814,1.0000746586991331,0.9999684606120641,98.76,98.67,98.77,98.73
resnet18/cifar100/SGD,SGD,1.0,1.7945013707501043,,1.794644083186795,77.75,78.01,,78.08
resnet18/cifar100/SGDM,SGDM,1.0,0.9970408453819104,0.9970170456786509,1.9940489813186604,77.45,78.22,76.44,78.45
resnet50/cifar100/SGD,SGD,1.0,,,,79.21,,,
resnet50/cifar100/SGDM,SGDM,1.0,,,,78.2,,,
vgg16/cifar100/SGD,SGD,1.0,1.000024794962334,0.9998394576975578,1.0000665929438226,75.16,75.89,74.29,75.43
vgg16/cifar100/SGDM,SGDM,1.0,1.0395268138901594,1.0393341556107674,1.0395702629353663,73.43,74.24,72.46,73.84
