setting,phase,wd_sched,lambda0,budget_c,best_acc,diverged,exp,src
mlp/cifar10,SGD,fixed,0.001,0.09999999999999994,57.55,0,e12_fixed,e12
mlp/cifar10,SGD,fixed,0.002,0.19999999999999987,57.78,0,e12_fixed,e12
mlp/cifar10,SGD,fixed,0.003,0.2999999999999999,58.0,0,e12_fixed,e12
mlp/cifar10,SGD,fixed,0.005,0.5,58.13,0,e12_fixed,e12
mlp/cifar10,SGD,fixed,0.0075,0.7500000000000001,57.91,0,e12_fixed,e12
mlp/cifar10,SGD,fixed,0.01,1.0,58.15,0,e12_fixed,e12
mlp/cifar10,SGD,fixed,0.02,2.0,55.59,0,e12_fixed,e12
mlp/cifar10,SGD,iso_product,0.005809,1.000024794962334,55.27,0,e12_matched,e12
mlp/cifar10,SGD,iso_product,0.01162,2.0003938917993302,52.06,0,e12_matched,e12
mlp/cifar10,SGD,iso_product,0.01743,3.0005908376989923,50.02,0,e12_matched,e12
mlp/cifar10,SGD,iso_product,0.02324,4.0007877835986605,48.96,0,e12_matched,e12
mlp/cifar10,SGD,iso_product,0.03485,5.999460166024668,46.16,0,e12_matched,e12
mlp/cifar10,SGD,iso_product,0.05228,9.000051003723677,42.97,0,e12_matched,e12
mlp/cifar10,SGD,iso_product,0.08713,14.999511169748343,36.98,0,e12_matched,e12
mlp/cifar10,SGD,linear,0.01417,0.9998394576975578,56.84,0,e12_matched,e12
mlp/cifar10,SGD,linear,0.02834,1.9996789153951156,56.78,0,e12_matched,e12
mlp/cifar10,SGD,linear,0.04252,3.0002239760974,56.29,0,e12_matched,e12
mlp/cifar10,SGD,linear,0.05669,4.000063433794957,55.03,0,e12_matched,e12
mlp/cifar10,SGD,linear,0.08503,5.999742349190074,53.81,0,e12_matched,e12
mlp/cifar10,SGD,linear,0.1276,9.00349434031111,50.89,0,e12_matched,e12
mlp/cifar10,SGD,linear,0.2126,15.001119880487005,44.98,0,e12_matched,e12
mlp/cifar10,SGD,linear_up,0.03397,1.0000665929438226,54.86,0,e12_matched,e12
mlp/cifar10,SGD,linear_up,0.06794,2.000133185887645,53.49,0,e12_matched,e12
mlp/cifar10,SGD,linear_up,0.1019,2.9999053818361947,52.66,0,e12_matched,e12
mlp/cifar10,SGD,linear_up,0.1359,4.000855165765836,52.06,0,e12_matched,e12
mlp/cifar10,SGD,linear_up,0.2038,5.999810763672389,51.8,0,e12_matched,e12
mlp/cifar10,SGD,linear_up,0.3057,8.999716145508582,51.14,0,e12_matched,e12
mlp/cifar10,SGD,linear_up,0.5095,14.99952690918097,50.25,0,e12_matched,e12
mlp/cifar10,SGDM,fixed,0.0001,0.10000000000000006,51.9,0,e12_fixed,e12
mlp/cifar10,SGDM,fixed,0.0003,0.30000000000000027,55.33,0,e12_fixed,e12
mlp/cifar10,SGDM,fixed,0.0006,0.6000000000000005,56.02,0,e12_fixed,e12
mlp/cifar10,SGDM,fixed,0.001,1.0,56.86,0,e12_fixed,e12
mlp/cifar10,SGDM,fixed,0.002,2.0,56.42,0,e12_fixed,e12
mlp/cifar10,SGDM,fixed,0.003,3.0000000000000004,56.15,0,e12_fixed,e12
mlp/cifar10,SGDM,fixed,0.005,5.000000000000003,52.2,0,e12_fixed,e12
mlp/cifar10,SGDM,iso_product,0.0001936,0.3332842146750001,57.01,0,e12_matched,e12
mlp/cifar10,SGDM,iso_product,0.0005809,1.0000247949623333,58.67,0,e12_matched,e12
mlp/cifar10,SGDM,iso_product,0.0008713,1.4999511169748372,58.46,0,e12_matched,e12
mlp/cifar10,SGDM,iso_product,0.001162,2.000393891799335,57.57,0,e12_matched,e12
