setting,wd_sched,lambda0,mean_acc,std_acc,n_seeds,seeds
mlp/cifar10/SGD,fixed,0.01,58.03,0.14000000000000057,2,"123,2024"
mlp/cifar10/SGD,linear_up,0.03397,55.275000000000006,0.18499999999999872,2,"123,2024"
mlp/cifar10/SGDM,fixed,0.001,56.355000000000004,0.11499999999999844,2,"123,2024"
mlp/cifar10/SGDM,linear_up,0.005095,58.095,0.07499999999999929,2,"123,2024"
mlp/mnist/SGD,fixed,0.002,98.41,0.020000000000003126,2,"123,2024"
mlp/mnist/SGD,linear,0.002834,98.46000000000001,0.00999999999999801,2,"123,2024"
mlp/mnist/SGDM,fixed,0.0003,98.785,0.005000000000002558,2,"123,2024"
mlp/mnist/SGDM,linear,0.0004252,98.805,0.014999999999993463,2,"123,2024"
resnet18/cifar100/SGD,fixed,0.005,77.65333333333334,0.15839472494022006,3,"42,123,2024"
resnet18/cifar100/SGD,linear,0.01063,77.54499999999999,0.22500000000000142,2,"123,2024"
resnet18/cifar100/SGD,linear_up,0.03048,78.17333333333333,0.0659966329107447,3,"42,123,2024"
resnet18/cifar100/SGDM,cosine_up,0.005,77.845,0.13500000000000512,2,"123,2024"
resnet18/cifar100/SGDM,fixed,0.0006,77.455,0.3850000000000051,2,"123,2024"
resnet18/cifar100/SGDM,linear_up,0.005,77.935,0.02499999999999858,2,"123,2024"
resnet18/cifar100/SGDM,step_up,0.01,77.845,0.125,2,"123,2024"
resnet50/cifar100/SGD,fixed,0.005,79.25999999999999,0.14999999999999858,2,"123,2024"
resnet50/cifar100/SGD,iso_product,0.002904,79.85,0.0,2,"123,2024"
resnet50/cifar100/SGD,linear_up,0.01698,79.675,0.06499999999999773,2,"123,2024"
resnet50/cifar100/SGDM,fixed,0.000962,76.92,0.8458132181516215,3,"42,123,2024"
resnet50/cifar100/SGDM,iso_product,0.0003485,78.625,0.015000000000000568,2,"123,2024"
resnet50/cifar100/SGDM,linear_up,0.003057,78.095,0.2049999999999983,2,"123,2024"
vgg16/cifar100/SGD,fixed,0.01,74.88499999999999,0.2149999999999963,2,"123,2024"
vgg16/cifar100/SGD,iso_product,0.005809,76.105,0.32500000000000284,2,"123,2024"
vgg16/cifar100/SGDM,fixed,0.001,73.125,0.025000000000005684,2,"123,2024"
vgg16/cifar100/SGDM,iso_product,0.0005809,73.61,0.23000000000000398,2,"123,2024"
