setting,wd_sched,phase,peak_acc,peak_budget_c,peak_lambda0,n_runs
mlp/cifar10/SGDM,fixed,SGDM,56.86,1.0,0.001,9
mlp/cifar10/SGDM,linear_up,SGDM,58.8,1.4999526909180976,0.005095,9
mlp/cifar10/SGDM,linear,SGDM,55.71,1.5001119880487,0.002126,7
mlp/cifar10/SGDM,iso_product,SGDM,58.67,1.0000247949623333,0.0005809,7
mlp/cifar10/SGD,fixed,SGD,58.15,1.0,0.01,9
mlp/cifar10/SGD,linear_up,SGD,54.86,1.0000665929438226,0.03397,9
mlp/cifar10/SGD,linear,SGD,56.84,0.9998394576975578,0.01417,7
mlp/cifar10/SGD,iso_product,SGD,55.27,1.000024794962334,0.005809,7
mlp/mnist/SGDM,fixed,SGDM,98.76,1.0,0.0003,9
mlp/mnist/SGDM,linear_up,SGDM,98.73,0.9999684606120641,0.001019,7
mlp/mnist/SGDM,linear,SGDM,98.77,1.0000746586991331,0.0004252,9
mlp/mnist/SGDM,iso_product,SGDM,98.67,0.33334159832077814,5.809e-05,7
mlp/mnist/SGD,fixed,SGD,98.38,1.0,0.002,9
mlp/mnist/SGD,linear_up,SGD,98.34,1.0000665929438224,0.006794,7
mlp/mnist/SGD,linear,SGD,98.47,0.9998394576975581,0.002834,9
mlp/mnist/SGD,iso_product,SGD,98.32,1.0001969458996673,0.001162,7
resnet50/cifar100/SGDM,fixed,SGDM,78.2,1.0,0.000962,10
resnet50/cifar100/SGD,fixed,SGD,79.21,1.0,0.005,7
vgg16/cifar100/SGDM,fixed,SGDM,73.43,1.0,0.000962,12
vgg16/cifar100/SGDM,linear_up,SGDM,73.84,1.0395702629353663,0.003397,7
vgg16/cifar100/SGDM,linear,SGDM,72.46,1.0393341556107674,0.001417,7
vgg16/cifar100/SGDM,iso_product,SGDM,74.24,1.0395268138901594,0.0005809,9
vgg16/cifar100/SGD,fixed,SGD,75.16,1.0,0.01,9
vgg16/cifar100/SGD,linear_up,SGD,75.43,1.0000665929438226,0.03397,7
vgg16/cifar100/SGD,linear,SGD,74.29,0.9998394576975578,0.01417,7
vgg16/cifar100/SGD,iso_product,SGD,75.89,1.000024794962334,0.005809,9
resnet18/cifar100/SGDM,fixed,SGDM,77.45,1.0,0.0006,34
resnet18/cifar100/SGDM,linear_up,SGDM,78.45,1.9940489813186604,0.004064,19
resnet18/cifar100/SGDM,linear,SGDM,76.44,0.9970170456786509,0.0008478,3
resnet18/cifar100/SGDM,iso_product,SGDM,78.22,0.9970408453819104,0.0003475,14
resnet18/cifar100/SGD,fixed,SGD,77.75,1.0,0.005,8
resnet18/cifar100/SGD,linear_up,SGD,78.08,1.794644083186795,0.03048,21
resnet18/cifar100/SGD,iso_product,SGD,78.01,1.7945013707501043,0.005212,13
