method,dataset,num_layers,hidden_dim,use_bn,norm_output,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,256,0,0,128,0.03,0.001,0.9,30,42,0.17771755440711975,96.89,1.7102330814361573,55.45,1.3940423612594603,55.55,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.03,0.01,0.9,30,42,0.964969591255188,67.984,1.2342655401229858,56.44,1.2342655401229858,56.53,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.3,0.003,0.9,30,42,1.080544292755127,62.198,1.3197481874465942,53.61,1.3197481874465942,53.61,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.1,0.003,0.9,30,42,0.8333436527633667,71.974,1.2772317504882813,55.95,1.2772317504882813,56.03,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.3,0.0001,0.9,30,42,2.3026186994934084,9.93,2.302588314437866,10.01,2.302588314437866,10.01,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.3,0.001,0.9,30,42,0.9920091004562378,64.992,1.3300481260299684,54.16,1.3300481260299684,54.16,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.3,0.0003,0.9,30,42,1.0769809066390992,61.272,1.423562483215332,51.1,1.423562483215332,51.1,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.03,0.003,0.9,30,42,0.4687448868274689,86.772,1.2795917476654053,58.06,1.2696122747421266,58.06,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.1,0.0001,0.9,30,42,0.7023505911445618,74.622,1.7998048027038573,51.14,1.6710765796661378,51.33,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.1,0.001,0.9,30,42,0.6074791215419769,79.622,1.3723739629745484,56.22,1.3544673572540282,56.22,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.03,0.0003,0.9,30,42,0.09235291371822357,98.678,2.2034411972045898,54.39,1.419351596260071,54.84,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.03,0.0001,0.9,30,42,0.07589762400627137,98.876,2.4808742656707765,54.38,1.418352647972107,54.55,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.1,0.0003,0.9,30,42,0.564072047996521,80.868,1.639476140022278,53.4,1.529937675857544,53.48,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.1,0.01,0.9,30,42,1.1228112000656127,61.742,1.2997149459838868,54.33,1.2997149459838868,54.33,0,30
SGDM+WD,cifar10,3,256,0,0,128,0.3,0.01,0.9,30,42,2.302617693939209,9.844,2.3025894866943357,10.0,2.2013972972869875,16.03,0,30
SGDM+WD,cifar10,3,1024,0,0,128,0.3,0.0001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,1024,0,0,128,0.03,0.0140208,0.9,30,42,1.0651044358062745,64.552,1.25838489112854,55.98,1.25838489112854,55.98,0,30
SGDM+WD,cifar10,3,1024,0,0,128,0.03,0.0132243,0.9,30,42,1.0419092156219483,65.396,1.2500661504745483,56.04,1.2500661504745483,56.04,0,30
SGDM+WD,cifar10,3,1024,0,0,128,0.03,0.0003,0.9,30,42,0.014217842642664909,99.986,2.156125986099243,57.95,1.3745375305175782,58.06,0,30
SGDM+WD,cifar10,3,1024,0,0,128,0.03,0.0001,0.9,30,42,0.007701893775165081,100.0,2.5419666023254393,57.26,1.3837536087036133,57.47,0,30
SGDM+WD,cifar10,3,1024,0,0,128,0.3,0.001,0.9,30,42,0.8817858193206787,69.354,1.3135310577392578,54.86,1.3135310577392578,54.86,0,30
SGDM+WD,cifar10,3,1024,0,0,128,0.1,0.001,0.9,30,42,0.40317308753967285,87.76,1.42347023563385,56.98,1.3767454677581787,57.14,0,30
SGDM+WD,cifar10,3,1024,0,0,128,0.03,0.001,0.9,30,42,0.05040428449630737,99.85,1.6531658811569214,58.71,1.3544502990722656,58.84,0,30
SGDM+WD,cifar10,3,1024,0,0,128,0.03,0.01,0.9,30,42,0.9125458321380615,70.416,1.2118650749206543,57.46,1.2118650749206543,57.46,0,30
