method,dataset,num_layers,hidden_dim,use_bn,norm_output,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGD+WD,mnist,3,128,0,0,128,0.05,0.0003,0.0,20,42,0.03764371964037418,99.125,0.07193327612876892,97.77,0.07193327612876892,97.83,0,20
SGD+WD,mnist,3,128,0,0,128,0.1,0.0003,0.0,20,42,0.014095518132547537,99.81333333333333,0.06270043523311615,98.05,0.06210646820068359,98.14,0,20
SGD+WD,mnist,3,128,0,0,128,0.2,0.0001,0.0,20,42,0.003420247125501434,99.98666666666666,0.06377906279563904,98.18,0.06220585187673569,98.2,0,20
SGD+WD,mnist,3,128,0,0,128,0.1,0.0001,0.0,20,42,0.011845695001383622,99.85666666666667,0.06447685134410858,98.04,0.06391931637525558,98.08,0,20
SGD+WD,mnist,3,128,0,0,128,0.05,0.0001,0.0,20,42,0.03581579888164997,99.17666666666666,0.0715929508447647,97.73,0.0715929508447647,97.8,0,20
SGD+WD,mnist,3,128,0,0,128,0.05,0.001,0.0,20,42,0.04458518682916959,98.97166666666666,0.07346138124465942,97.73,0.07346138124465942,97.74,0,20
SGDM+WD,mnist,3,128,0,0,128,0.05,0.0003,0.9,20,42,0.002957250961412986,99.99833333333333,0.05653803777694702,98.37,0.05653803777694702,98.4,0,20
SGD+WD,mnist,3,128,0,0,128,0.2,0.01,0.0,20,42,0.1073815219839414,97.57166666666667,0.11252901690006256,97.15,0.1125201064825058,97.15,0,20
SGD+WD,mnist,3,128,0,0,128,0.1,0.01,0.0,20,42,0.11273338869810104,97.4,0.11776775915622711,96.97,0.11776775915622711,96.97,0,20
SGD+WD,mnist,3,128,0,0,128,0.05,0.003,0.0,20,42,0.06468425754507383,98.41333333333333,0.08384086213111877,97.55,0.08384086213111877,97.56,0,20
SGD+WD,mnist,3,128,0,0,128,0.1,0.003,0.0,20,42,0.04679099813699722,99.02666666666667,0.07141425499916076,97.84,0.07141425499916076,97.93,0,20
SGD+WD,mnist,3,128,0,0,128,0.2,0.003,0.0,20,42,0.0391217693010966,99.315,0.06339202605485916,98.14,0.06339202605485916,98.14,0,20
SGDM+WD,mnist,3,128,0,0,128,0.05,0.0001,0.9,20,42,0.0010388857720730206,100.0,0.06348101661205292,98.42,0.062410401868820194,98.48,0,20
SGD+WD,mnist,3,128,0,0,128,0.1,0.001,0.0,20,42,0.022544686824083327,99.62666666666667,0.062330120503902436,98.09,0.062272751927375795,98.09,0,20
SGD+WD,mnist,3,128,0,0,128,0.2,0.001,0.0,20,42,0.013705226841568947,99.88333333333334,0.054531516015529635,98.29,0.054531516015529635,98.29,0,20
SGDM+WD,mnist,3,128,0,0,128,0.05,0.001,0.9,20,42,0.011027128541717926,99.94833333333334,0.05107075755596161,98.4,0.05107075755596161,98.41,0,20
SGD+WD,mnist,3,128,0,0,128,0.2,0.0003,0.0,20,42,0.0053657523784786465,99.975,0.059825301027297974,98.26,0.05965255589485168,98.28,0,20
SGD+WD,mnist,3,128,0,0,128,0.05,0.01,0.0,20,42,0.12532798349062602,96.985,0.12978884828090667,96.52,0.12978884828090667,96.59,0,20
SGDM+WD,mnist,3,128,0,0,128,0.05,0.003,0.9,20,42,0.03668676461180051,99.38,0.060322925961017605,98.34,0.060322925961017605,98.34,0,20
SGDM+WD,mnist,3,128,0,0,128,0.05,0.01,0.9,20,42,0.1061567772825559,97.59166666666667,0.11195628643035889,97.22,0.11195628643035889,97.22,0,20
SGDM+WD,mnist,3,128,0,0,128,0.1,0.0001,0.9,20,42,0.0008283643695836266,99.995,0.06634567520618438,98.5,0.06632316744327545,98.5,0,20
SGDM+WD,mnist,3,128,0,0,128,0.1,0.0003,0.9,20,42,0.002921114850603044,99.99833333333333,0.056200273168087005,98.39,0.05610272941589355,98.41,0,20
SGDM+WD,mnist,3,128,0,0,128,0.1,0.001,0.9,20,42,0.011524800397455692,99.92333333333333,0.047102318787574766,98.57,0.047102318787574766,98.57,0,20
SGDM+WD,mnist,3,128,0,0,128,0.1,0.003,0.9,20,42,0.03761705551544825,99.32333333333334,0.06007811690568924,98.38,0.06007811690568924,98.38,0,20
SGDM+WD,mnist,3,128,0,0,128,0.2,0.0003,0.9,20,42,0.005792017052322626,99.91666666666667,0.07254762139320374,97.98,0.07254762139320374,98.04,0,20
SGDM+WD,mnist,3,128,0,0,128,0.2,0.01,0.9,20,42,0.11887557309865951,97.14833333333333,0.12063797769546508,97.03,0.12063797769546508,97.03,0,20
SGDM+WD,mnist,3,128,0,0,128,0.2,0.0001,0.9,20,42,0.003972156825878968,99.92166666666667,0.10562379245758056,97.74,0.10313886470794678,97.76,0,20
SGDM+WD,mnist,3,128,0,0,128,0.2,0.001,0.9,20,42,0.016439033308128514,99.78166666666667,0.05290511405467987,98.4,0.05290511405467987,98.41,0,20
SGDM+WD,mnist,3,128,0,0,128,0.1,0.01,0.9,20,42,0.10729601932366689,97.58,0.11196312537193298,97.27,0.11196312537193298,97.27,0,20
SGDM+WD,mnist,3,128,0,0,128,0.2,0.003,0.9,20,42,0.047193500278393426,98.935,0.06709828329086304,98.08,0.06709828329086304,98.08,0,20
SGD+WD,mnist,3,256,0,0,128,0.2,0.0003,0.0,20,42,0.004105568165332079,99.98833333333333,0.05280563769340515,98.28,0.052382574725151065,98.3,0,20
SGD+WD,mnist,3,256,0,0,128,0.05,0.001,0.0,20,42,0.03921366406679153,99.10166666666667,0.06782781636714935,97.93,0.06782781636714935,97.93,0,20
SGDM+WD,mnist,3,256,0,0,128,0.05,0.001,0.9,20,42,0.009828049999227127,99.97,0.04613011370897293,98.51,0.04607174402475357,98.54,0,20
SGD+WD,mnist,3,256,0,0,128,0.2,0.01,0.0,20,42,0.10617682868639627,97.63333333333334,0.11221258244514465,97.24,0.11221258244514465,97.24,0,20
SGDM+WD,mnist,3,256,0,0,128,0.05,0.0001,0.9,20,42,0.000809402380604297,99.99833333333333,0.05988092321157455,98.47,0.05954833006858826,98.48,0,20
SGD+WD,mnist,3,256,0,0,128,0.2,0.0001,0.0,20,42,0.002418290876938651,99.995,0.05794752745628357,98.32,0.05604859731197357,98.32,0,20
SGD+WD,mnist,3,256,0,0,128,0.05,0.0003,0.0,20,42,0.03201240742603938,99.27666666666667,0.06537656927108765,97.92,0.06537656927108765,97.97,0,20
SGD+WD,mnist,3,256,0,0,128,0.1,0.0003,0.0,20,42,0.010727617490415772,99.90333333333334,0.05480192832946777,98.26,0.05480192832946777,98.26,0,20
SGD+WD,mnist,3,256,0,0,128,0.05,0.0001,0.0,20,42,0.030087495046108963,99.31166666666667,0.06529155611991883,97.88,0.06529155611991883,97.92,0,20
SGD+WD,mnist,3,256,0,0,128,0.1,0.01,0.0,20,42,0.10977359206279119,97.50833333333334,0.11531079959869385,97.11,0.11531079959869385,97.15,0,20
SGD+WD,mnist,3,256,0,0,128,0.05,0.003,0.0,20,42,0.059774582903583846,98.60333333333334,0.0785595888376236,97.74,0.0785595888376236,97.76,0,20
SGD+WD,mnist,3,256,0,0,128,0.2,0.003,0.0,20,42,0.036802689519524576,99.4,0.06263534572124481,98.15,0.06263534572124481,98.18,0,20
SGD+WD,mnist,3,256,0,0,128,0.1,0.003,0.0,20,42,0.04333144944210847,99.16333333333333,0.06666942434310913,98.12,0.06666942434310913,98.13,0,20
SGD+WD,mnist,3,256,0,0,128,0.05,0.01,0.0,20,42,0.12161104348897935,97.125,0.1261301543712616,96.72,0.1261301543712616,96.73,0,20
SGD+WD,mnist,3,256,0,0,128,0.1,0.001,0.0,20,42,0.018957686556379,99.745,0.054936197936534883,98.24,0.054936197936534883,98.28,0,20
SGDM+WD,mnist,3,256,0,0,128,0.05,0.0003,0.9,20,42,0.0026102294680662454,99.99833333333333,0.0513681156873703,98.54,0.051198831856250765,98.56,0,20
SGD+WD,mnist,3,256,0,0,128,0.2,0.001,0.0,20,42,0.01189661816433072,99.93166666666667,0.050755886554718015,98.26,0.050755886554718015,98.33,0,20
SGD+WD,mnist,3,256,0,0,128,0.1,0.0001,0.0,20,42,0.008647713543909292,99.93666666666667,0.056129397428035736,98.17,0.055778940439224246,98.2,0,20
SGDM+WD,mnist,3,256,0,0,128,0.05,0.01,0.9,20,42,0.10520122383038202,97.655,0.11078008589744567,97.36,0.11078008589744567,97.36,0,20
SGDM+WD,mnist,3,256,0,0,128,0.1,0.0001,0.9,20,42,0.0006733189165242947,100.0,0.061495974898338315,98.45,0.061495974898338315,98.48,0,20
SGDM+WD,mnist,3,256,0,0,128,0.1,0.001,0.9,20,42,0.010300694938749074,99.95166666666667,0.04623443821668625,98.59,0.04623443821668625,98.59,0,20
SGDM+WD,mnist,3,256,0,0,128,0.1,0.0003,0.9,20,42,0.002624474128894508,99.99666666666667,0.048067573404312135,98.6,0.04796942270994187,98.64,0,20
SGDM+WD,mnist,3,256,0,0,128,0.05,0.003,0.9,20,42,0.03463870004316171,99.45166666666667,0.05853860332965851,98.3,0.05853860332965851,98.3,0,20
SGDM+WD,mnist,3,256,0,0,128,0.1,0.003,0.9,20,42,0.0361125947723786,99.38666666666667,0.05838836177587509,98.36,0.05838836177587509,98.36,0,20
SGDM+WD,mnist,3,256,0,0,128,0.1,0.01,0.9,20,42,0.10645277362267176,97.61833333333334,0.11109312143325806,97.32,0.11109312143325806,97.33,0,20
SGDM+WD,mnist,3,256,0,0,128,0.2,0.0001,0.9,20,42,0.0009165043143633132,99.99666666666667,0.07934020977020263,98.27,0.07934020977020263,98.27,0,20
SGDM+WD,mnist,3,256,0,0,128,0.2,0.001,0.9,20,42,0.012057319886734088,99.88833333333334,0.04540038145780563,98.67,0.04540038145780563,98.67,0,20
SGDM+WD,mnist,3,256,0,0,128,0.2,0.01,0.9,20,42,0.113274314447244,97.34833333333333,0.11511090602874756,97.11,0.11511090602874756,97.11,0,20
SGDM+WD,mnist,3,256,0,0,128,0.2,0.0003,0.9,20,42,0.0026976109460617103,99.99166666666666,0.05155859274864197,98.5,0.05139688773155213,98.55,0,20
SGDM+WD,mnist,3,256,0,0,128,0.2,0.003,0.9,20,42,0.04216010454793771,99.13333333333334,0.0631286542892456,98.1,0.0631286542892456,98.1,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.01,0.0,20,42,0.11639234350919724,97.30166666666666,0.12212527830600739,96.85,0.12212527830600739,96.87,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.0001,0.0,20,42,0.0017180032664909958,99.99833333333333,0.05451924933195114,98.42,0.05367744483947754,98.45,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.0001,0.9,20,42,0.0006254188109422103,100.0,0.054451052522659305,98.53,0.054451052522659305,98.53,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.0001,0.0,20,42,0.022074656323591867,99.585,0.060706227099895475,98.04,0.060706227099895475,98.05,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.0003,0.0,20,42,0.024055604270845653,99.55333333333333,0.06094794007539749,98.03,0.06094794007539749,98.05,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.003,0.0,20,42,0.03990059837599595,99.30333333333333,0.06554787712097168,98.06,0.06554787712097168,98.06,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.0001,0.0,20,42,0.0058894476366539794,99.96666666666667,0.055742828583717347,98.23,0.05510389323234558,98.25,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.001,0.0,20,42,0.010513825590411823,99.96333333333334,0.04989439560174942,98.35,0.04989439560174942,98.47,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.001,0.0,20,42,0.015395440140614907,99.87,0.05460448631048202,98.23,0.05460448631048202,98.26,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.001,0.9,20,42,0.00909491867100199,99.98166666666667,0.04510604858398438,98.54,0.04508665827512741,98.59,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.0003,0.0,20,42,0.007727715919539332,99.95666666666666,0.05443638594150543,98.24,0.05417192966938019,98.28,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.0003,0.9,20,42,0.0023726742153987288,99.99833333333333,0.04621423954963684,98.5,0.04589275896549225,98.55,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.003,0.0,20,42,0.05291914996902148,98.89,0.07513655469417573,97.8,0.07513655469417573,97.83,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.001,0.0,20,42,0.03140201507806778,99.38833333333334,0.06359282687902451,97.99,0.06359282687902451,98.01,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.0003,0.0,20,42,0.0032879417965809505,99.99666666666667,0.05097400472164154,98.39,0.05070006264448166,98.41,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.01,0.0,20,42,0.10459670094450314,97.68166666666667,0.11088857421875,97.17,0.11088857421875,97.27,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.003,0.0,20,42,0.03491675457954407,99.465,0.060780396473407744,98.23,0.060780396473407744,98.23,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.01,0.0,20,42,0.10769760027130444,97.59166666666667,0.11414193563461304,97.12,0.11414193563461304,97.14,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.003,0.9,20,42,0.03328122009585301,99.515,0.05740273586511612,98.3,0.05740273586511612,98.35,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.0001,0.9,20,42,0.0005136153282752882,100.0,0.04892997282743454,98.65,0.04892997282743454,98.66,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.0003,0.9,20,42,0.002377281654874484,99.99833333333333,0.0420864338517189,98.67,0.04165892252922058,98.73,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.001,0.9,20,42,0.009197926544398069,99.97333333333333,0.04355262488126755,98.63,0.04336516075134277,98.65,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.01,0.9,20,42,0.10460809846917789,97.68166666666667,0.11041770732402802,97.33,0.11041770732402802,97.34,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.0001,0.9,20,42,0.0005559966921728725,100.0,0.057938173758983615,98.56,0.057938173758983615,98.56,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.0003,0.9,20,42,0.0023100587158463894,99.995,0.04411707110404968,98.65,0.04366099565029144,98.74,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.01,0.9,20,42,0.11027210359573364,97.45333333333333,0.11390198380947113,97.3,0.11390198380947113,97.3,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.00168882,0.0,20,42,0.03885487113346656,99.19666666666667,0.0671587619304657,97.91,0.0671587619304657,97.94,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.01,0.9,20,42,0.10588906512061755,97.62333333333333,0.11095946929454803,97.35,0.11095946929454803,97.35,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.00116985,0.0,20,42,0.03322864774465561,99.34833333333333,0.06440604181289673,97.96,0.06440604181289673,98.02,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.003,0.9,20,42,0.039551666578650474,99.25166666666667,0.0607166996717453,98.28,0.0607166996717453,98.28,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.0005,0.0,20,42,0.02611575150936842,99.50666666666666,0.06154754173755646,98.04,0.06154754173755646,98.06,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.003,0.9,20,42,0.034838375351329644,99.44833333333334,0.05762892550230026,98.28,0.05762892550230026,98.35,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.001,0.9,20,42,0.010307421425233285,99.93833333333333,0.04447959018945694,98.62,0.04447959018945694,98.66,0,20
SGD+WD,mnist,3,1024,0,0,128,0.05,0.0021322,0.0,20,42,0.0436371078868707,99.10666666666667,0.06962290961742401,97.85,0.06962290961742401,97.87,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.0005,0.0,20,42,0.009741830221315225,99.94333333333333,0.05404166502952576,98.24,0.05404166502952576,98.3,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.000584923,0.0,20,42,0.010670268471663196,99.93166666666667,0.054114089155197144,98.21,0.054114089155197144,98.28,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.000292462,0.0,20,42,0.0032251200245693324,99.99666666666667,0.05182467023134232,98.45,0.05145794715881347,98.45,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.0010661,0.0,20,42,0.01620748211319248,99.85666666666667,0.054841744005680086,98.23,0.054841744005680086,98.3,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.0005,0.0,20,42,0.005190348092094064,99.99333333333334,0.049924629867076874,98.38,0.04973792748451233,98.44,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.00104478,0.9,20,42,0.009508583956211805,99.97666666666667,0.04495045657157898,98.59,0.044924661207199096,98.66,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.0005,0.9,20,42,0.004237259724239508,99.99666666666667,0.04488779498338699,98.56,0.044091089308261874,98.61,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.000533049,0.0,20,42,0.005493639464552204,99.99166666666666,0.05016739909648895,98.36,0.050046223187446594,98.4,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.00129492,0.9,20,42,0.012230939038842916,99.955,0.04648643847703934,98.49,0.04638816193342209,98.56,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.05,0.0021322,0.9,20,42,0.02223345729907354,99.78,0.05110868550539017,98.44,0.05110868550539017,98.44,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.000647459,0.9,20,42,0.005520469532782833,99.99333333333334,0.04222692781686783,98.66,0.042100992119312286,98.73,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.000323729,0.9,20,42,0.0025424948028599224,99.995,0.04394273682832718,98.66,0.04375577207803726,98.73,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.0010661,0.9,20,42,0.009876928664495547,99.97166666666666,0.04364318585395813,98.66,0.04351283668279648,98.66,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.0005,0.9,20,42,0.004167169862116377,99.99666666666667,0.042718010294437406,98.67,0.042667477428913116,98.77,0,20
SGD+WD,mnist,3,1024,0,0,128,0.1,0.000844411,0.0,20,42,0.013581119158864022,99.89666666666666,0.05427875851392746,98.23,0.05427875851392746,98.28,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.000261194,0.9,20,42,0.0019652370370614033,99.99666666666667,0.044035685420036316,98.65,0.04374459234476089,98.66,0,20
SGD+WD,mnist,3,1024,0,0,128,0.2,0.000422205,0.0,20,42,0.00441629619890203,99.99666666666667,0.05027572218179703,98.42,0.050020635914802554,98.43,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.000533049,0.9,20,42,0.004712837250779072,99.99166666666666,0.041241006779670714,98.76,0.0411475595831871,98.78,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.2,0.0005,0.9,20,42,0.0043661776592334115,99.99166666666666,0.041590820491313935,98.81,0.041573537981510165,98.81,0,20
SGDM+WD,mnist,3,1024,0,0,128,0.1,0.000522389,0.9,20,42,0.00433865567818284,99.99666666666667,0.04156889390945435,98.75,0.041073955059051516,98.78,0,20
SGD+WD,mnist,3,2048,0,0,128,0.05,0.0001,0.0,20,42,0.019348303299148877,99.705,0.05987724460363388,98.12,0.05987724460363388,98.15,0,20
SGD+WD,mnist,3,2048,0,0,128,0.1,0.0001,0.0,20,42,0.0051497649652262525,99.98,0.054561526930332185,98.31,0.05420558866262436,98.33,0,20
SGD+WD,mnist,3,2048,0,0,128,0.1,0.01,0.0,20,42,0.10721113416353861,97.62833333333333,0.11348813655376434,97.16,0.11347906265258789,97.19,0,20
SGD+WD,mnist,3,2048,0,0,128,0.05,0.003,0.0,20,42,0.05098548766374588,98.94333333333333,0.07418131334781647,97.87,0.07418131334781647,97.87,0,20
SGD+WD,mnist,3,2048,0,0,128,0.05,0.01,0.0,20,42,0.11553075563112895,97.33666666666667,0.12111190261840821,96.85,0.12111190261840821,96.89,0,20
SGDM+WD,mnist,3,2048,0,0,128,0.05,0.001,0.9,20,42,0.008965384713311991,99.985,0.04557627420425415,98.53,0.045526451790332795,98.55,0,20
SGD+WD,mnist,3,2048,0,0,128,0.2,0.01,0.0,20,42,0.1043563709417979,97.70666666666666,0.11041668891906738,97.32,0.1103883887052536,97.32,0,20
SGD+WD,mnist,3,2048,0,0,128,0.05,0.0003,0.0,20,42,0.021390301112333934,99.65166666666667,0.06023317322731018,98.07,0.06023317322731018,98.12,0,20
SGD+WD,mnist,3,2048,0,0,128,0.05,0.001,0.0,20,42,0.028840710959831872,99.47,0.06264286414384843,98.03,0.06264286414384843,98.07,0,20
SGD+WD,mnist,3,2048,0,0,128,0.2,0.0001,0.0,20,42,0.0015890018220370014,100.0,0.0539911535859108,98.42,0.05278686311244964,98.44,0,20
SGD+WD,mnist,3,2048,0,0,128,0.2,0.003,0.0,20,42,0.03435354556441307,99.49833333333333,0.06040001881122589,98.2,0.06032507166862488,98.23,0,20
SGD+WD,mnist,3,2048,0,0,128,0.1,0.0003,0.0,20,42,0.0068983141471942264,99.96833333333333,0.05332270016670227,98.34,0.05332270016670227,98.37,0,20
SGD+WD,mnist,3,2048,0,0,128,0.1,0.001,0.0,20,42,0.014362942790985107,99.88833333333334,0.05367954648733139,98.25,0.053679041707515716,98.29,0,20
SGD+WD,mnist,3,2048,0,0,128,0.2,0.0003,0.0,20,42,0.0031129327304661274,99.99833333333333,0.05042012314796448,98.45,0.050018401956558226,98.45,0,20
SGDM+WD,mnist,3,2048,0,0,128,0.05,0.0001,0.9,20,42,0.0006062284687223534,100.0,0.049984515595436096,98.62,0.049687321197986606,98.68,0,20
SGDM+WD,mnist,3,2048,0,0,128,0.05,0.0003,0.9,20,42,0.0023472385365515946,100.0,0.04561706427335739,98.61,0.04475790873765945,98.61,0,20
SGD+WD,mnist,3,2048,0,0,128,0.2,0.001,0.0,20,42,0.010174180578192075,99.97,0.049465956473350524,98.37,0.049445163178443906,98.44,0,20
SGD+WD,mnist,3,2048,0,0,128,0.1,0.003,0.0,20,42,0.03885270226399104,99.34833333333333,0.06542146900892258,98.08,0.06539317506551742,98.08,0,20
SGDM+WD,mnist,3,2048,0,0,128,0.05,0.003,0.9,20,42,0.03308000287810962,99.53666666666666,0.05761416182518005,98.3,0.057430899596214294,98.37,0,20
SGDM+WD,mnist,3,2048,0,0,128,0.1,0.0001,0.9,20,42,0.00048705232068896293,100.0,0.04981421858072281,98.7,0.04981421858072281,98.73,0,20
