method,dataset,num_layers,hidden_dim,use_bn,norm_output,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGD,mnist,3,512,0,0,128,0.05,0.0,0.0,20,42,0.024326248906056086,99.51,0.06326564779281617,97.93,0.06324141455888749,97.96,0,20
SGD,mnist,3,512,0,0,128,0.2,0.0,0.0,20,42,0.0013784063199224572,99.99833333333333,0.06063491590023041,98.42,0.05758016802072525,98.44,0,20
SGD+WD,mnist,3,512,0,0,128,0.01,0.001,0.0,20,42,0.15088680267333984,95.76,0.15464617347717285,95.44,0.15464617347717285,95.47,0,20
SGD,mnist,3,512,0,0,128,1.0,0.0,0.0,20,42,nan,nan,nan,nan,nan,nan,1,1
SGD+WD,mnist,3,512,0,0,128,0.05,0.001,0.0,20,42,0.0346040395885706,99.28333333333333,0.0657580290555954,97.91,0.06573904762268067,97.92,0,20
SGD+WD,mnist,3,512,0,0,128,1.0,0.001,0.0,20,42,nan,nan,nan,nan,nan,nan,1,1
SGD+WD,mnist,3,512,0,0,128,0.03,0.001,0.0,20,42,0.06023000635703405,98.43666666666667,0.08252677574157714,97.46,0.08252677574157714,97.46,0,20
SGD,mnist,3,512,0,0,128,0.03,0.0,0.0,20,42,0.0516577351530393,98.62,0.07810825433731079,97.47,0.0780984869480133,97.54,0,20
SGD,mnist,3,512,0,0,128,0.1,0.0,0.0,20,42,0.006051432196050882,99.96166666666667,0.058685973703861236,98.25,0.05792499005794525,98.27,0,20
SGD+WD,mnist,3,512,0,0,128,0.1,0.001,0.0,20,42,0.016636783417562643,99.82333333333334,0.05551366467475891,98.24,0.05551366467475891,98.24,0,20
SGD,mnist,3,512,0,0,128,0.3,0.0,0.0,20,42,0.0005969131063126649,100.0,0.06412116380929947,98.5,0.05734844892024994,98.5,0,20
SGD,mnist,3,512,0,0,128,0.01,0.0,0.0,20,42,0.14594423824151356,95.87666666666667,0.150549134349823,95.59,0.150549134349823,95.59,0,20
SGD+WD,mnist,3,512,0,0,128,0.3,0.001,0.0,20,42,0.010028619119773308,99.96833333333333,0.04898658481836319,98.46,0.04898658481836319,98.47,0,20
SGD+WD,mnist,3,512,0,0,128,0.2,0.001,0.0,20,42,0.011072095971554518,99.95166666666667,0.051202926921844485,98.39,0.051202926921844485,98.43,0,20
SGD,mnist,3,512,0,0,128,0.5,0.0,0.0,20,42,0.0002580151043366641,100.0,0.0673152680516243,98.53,0.060667881202697754,98.58,0,20
SGD+WD,mnist,3,512,0,0,128,0.5,0.001,0.0,20,42,0.009670993373543024,99.97,0.04751069140434265,98.5,0.04751069140434265,98.51,0,20
SGDM,mnist,3,512,0,0,128,0.003,0.0,0.9,20,42,0.052413487635056176,98.605,0.07883576586246491,97.43,0.07883576586246491,97.47,0,20
SGDM,mnist,3,512,0,0,128,0.01,0.0,0.9,20,42,0.006064801012227933,99.965,0.05815586105585098,98.19,0.05762641724348068,98.2,0,20
SGDM+WD,mnist,3,512,0,0,128,0.003,0.001,0.9,20,42,0.060889836599429446,98.39333333333333,0.08314937961101532,97.4,0.08314937961101532,97.4,0,20
SGDM+WD,mnist,3,512,0,0,128,0.01,0.001,0.9,20,42,0.016746365889410177,99.82,0.05538272745609284,98.22,0.05538272745609284,98.27,0,20
SGDM,mnist,3,512,0,0,128,0.02,0.0,0.9,20,42,0.001312010533704112,100.0,0.0593417051076889,98.35,0.056820116245746614,98.41,0,20
SGDM+WD,mnist,3,512,0,0,128,0.02,0.001,0.9,20,42,0.011015096478660901,99.95333333333333,0.05062706851959228,98.3,0.05062706851959228,98.32,0,20
SGDM,mnist,3,512,0,0,128,0.03,0.0,0.9,20,42,0.0005724967760344347,100.0,0.06288986662626267,98.37,0.05802215929031372,98.43,0,20
SGDM,mnist,3,512,0,0,128,0.3,0.0,0.9,20,42,nan,nan,nan,nan,nan,nan,1,1
