method,dataset,num_layers,hidden_dim,use_bn,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,1024,1,128,0.003,0.001,0.9,30,42,0.6189182273292542,83.9,1.2243383684158324,57.2,1.2235430910110474,57.24,0,30
SGDM+WD,cifar10,3,1024,1,128,0.003,0.0001,0.9,30,42,0.5663233156204224,85.354,1.2449287063598633,57.07,1.2436017715454102,57.07,0,30
SGDM+WD,cifar10,3,1024,1,128,0.003,0.0003,0.9,30,42,0.5782182069587708,84.964,1.2397626108169555,57.15,1.2387683717727662,57.15,0,30
SGDM+WD,cifar10,3,1024,1,128,0.003,0.003,0.9,30,42,0.7377625651359558,80.498,1.2131817100524902,57.47,1.2128136470794677,57.47,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.0001,0.9,30,42,0.10170001163005829,99.228,1.4748241107940674,56.62,1.2615917724609376,56.97,0,30
SGDM+WD,cifar10,3,1024,1,128,0.003,0.01,0.9,30,42,1.2226539421844482,72.486,1.437603980255127,56.42,1.3390810678482055,56.42,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.0003,0.9,30,42,0.12191030856132508,99.02,1.429480449485779,56.64,1.2576885566711427,57.0,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.001,0.9,30,42,0.2066476703596115,97.882,1.3133351881027222,57.07,1.249498356628418,57.37,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.003,0.9,30,42,0.5295805393791199,93.396,1.2550538146972656,57.19,1.248280835533142,57.27,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.01,0.9,30,42,1.4313955044555664,65.616,1.5709551437377929,54.22,1.4122586484909057,54.22,0,30
SGDM+WD,cifar10,3,1024,1,128,0.03,0.0001,0.9,30,42,0.018194109936952592,99.95,1.8271366146087646,57.69,1.2911500885009766,57.98,0,30
SGDM+WD,cifar10,3,1024,1,128,0.03,0.0003,0.9,30,42,0.03186604616761208,99.896,1.6601749752044679,57.68,1.272351103401184,57.74,0,30
SGDM+WD,cifar10,3,1024,1,128,0.03,0.001,0.9,30,42,0.12040575277805328,99.024,1.4289430727005006,56.06,1.2493133003234864,56.38,0,30
SGDM+WD,cifar10,3,1024,1,128,0.03,0.003,0.9,30,42,0.5682007187271119,90.83,1.2124183115005494,58.53,1.2121412023544311,58.53,0,30
SGDM+WD,cifar10,3,1024,1,128,0.03,0.01,0.9,30,42,1.3403003691101074,65.722,1.4826843944549561,55.17,1.4671169610977173,55.17,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.0003,0.9,30,42,0.017528107325434684,99.942,1.8459828847885131,58.22,1.2830561010360717,58.27,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.0001,0.9,30,42,0.009466755456030368,99.976,2.066714556121826,59.05,1.2910700632095338,59.24,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.001,0.9,30,42,0.17149858368873597,97.446,1.3900238620758056,57.18,1.2840074653625488,57.24,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.01,0.9,30,42,1.3510044495391846,59.382,1.443849383544922,53.27,1.443849383544922,53.27,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.003,0.9,30,42,0.7783516627311706,78.684,1.2088187379837037,58.07,1.2088187379837037,58.07,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.0001,0.9,30,42,0.012256975920796394,99.926,2.0288020915985108,59.4,1.3168925897598267,59.59,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.0003,0.9,30,42,0.04703689615964889,99.488,1.692929065322876,58.71,1.307318862915039,58.73,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.001,0.9,30,42,0.48800543924331663,85.658,1.251944369506836,57.83,1.2370383766174315,57.83,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.003,0.9,30,42,1.0357516230010986,65.406,1.2590972087860108,54.74,1.2590972087860108,54.74,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.01,0.9,30,42,1.575084517173767,45.196,1.5951519920349122,43.98,1.5951519920349122,43.98,0,30
SGDM+WD,cifar10,3,1024,1,128,1.0,0.0001,0.9,30,42,0.4760868879508972,84.072,1.5921450981140137,55.97,1.3547832447052002,56.24,0,30
SGDM+WD,cifar10,3,1024,1,128,1.0,0.0003,0.9,30,42,0.9837262307357788,64.03,1.449422364807129,51.03,1.4325817796707154,51.17,0,30
SGDM+WD,cifar10,3,1024,1,128,1.0,0.001,0.9,30,42,1.4559715773773194,45.702,1.560699529838562,42.91,1.560699529838562,42.91,0,30
SGDM+WD,cifar10,3,1024,1,128,1.0,0.003,0.9,30,42,1.9122216164398194,26.72,1.910226947402954,26.59,1.910226947402954,26.59,0,30
SGDM+WD,cifar10,3,1024,1,128,1.0,0.01,0.9,30,42,1.8502938639068605,32.732,1.8538428495407104,31.43,1.8538428495407104,31.43,0,30
SGDM+WD,cifar10,3,1024,1,128,3.0,0.0001,0.9,30,42,2.302860835723877,9.856,2.3026440887451174,10.0,2.3026440887451174,12.28,0,30
SGDM+WD,cifar10,3,1024,1,128,3.0,0.0003,0.9,30,42,2.3028602336883544,9.856,2.302644143295288,10.0,2.288344597244263,16.51,0,30
SGDM+WD,cifar10,3,1024,1,128,3.0,0.001,0.9,30,42,2.302858081817627,9.856,2.302643946456909,10.0,2.1279358963012696,16.27,0,30
SGDM+WD,cifar10,3,1024,1,128,3.0,0.003,0.9,30,42,2.3028521939086914,9.86,2.302644223403931,10.0,2.119735263442993,20.93,0,30
SGDM+WD,cifar10,3,1024,1,128,3.0,0.01,0.9,30,42,1.923736951980591,25.688,1.9175235092163085,25.15,1.9175235092163085,25.15,0,30
