method,dataset,num_layers,hidden_dim,use_bn,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,1024,1,128,0.01,0.01,0.9,30,42,1.4313955044555664,65.616,1.5709551437377929,54.22,1.4122586484909057,54.22,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.001,0.9,30,42,0.2066476703596115,97.882,1.3133351881027222,57.07,1.249498356628418,57.37,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.0001,0.9,30,42,0.10170001163005829,99.228,1.4748241107940674,56.62,1.2615917724609376,56.97,0,30
SGDM+WD,cifar10,3,1024,1,128,0.05,0.0001,0.9,30,42,0.012701116228103639,99.962,1.924906065750122,58.42,1.3100811170578004,58.49,0,30
SGDM+WD,cifar10,3,1024,1,128,0.05,0.001,0.9,30,42,0.11706003467559814,98.944,1.4273031057357788,56.44,1.256105033683777,56.72,0,30
SGDM+WD,cifar10,3,1024,1,128,0.05,0.01,0.9,30,42,1.331092953414917,63.676,1.4545362226486207,55.07,1.4545362226486207,55.07,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.0001,0.9,30,42,0.009466755456030368,99.976,2.066714556121826,59.05,1.2910700632095338,59.24,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.001,0.9,30,42,0.17149858368873597,97.446,1.3900238620758056,57.18,1.2840074653625488,57.24,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.01,0.9,30,42,1.3510044495391846,59.382,1.443849383544922,53.27,1.443849383544922,53.27,0,30
SGDM+WD,cifar10,3,1024,1,128,0.2,0.0001,0.9,30,42,0.009895055370330811,99.956,2.032369343948364,59.46,1.2968879440307617,59.46,0,30
SGDM+WD,cifar10,3,1024,1,128,0.2,0.001,0.9,30,42,0.3356928881931305,91.652,1.3035500427246094,57.71,1.2348909433364867,57.72,0,30
SGDM+WD,cifar10,3,1024,1,128,0.2,0.01,0.9,30,42,1.503117036972046,49.156,1.536497954940796,47.34,1.536497954940796,47.34,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.0001,0.9,30,42,0.012256975920796394,99.926,2.0288020915985108,59.4,1.3168925897598267,59.59,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.001,0.9,30,42,0.48800543924331663,85.658,1.251944369506836,57.83,1.2370383766174315,57.83,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.01,0.9,30,42,1.575084517173767,45.196,1.5951519920349122,43.98,1.5951519920349122,43.98,0,30
