method,dataset,num_layers,hidden_dim,use_bn,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,1024,1,128,0.003,0.001,0.9,30,42,0.6189182273292542,83.9,1.2243383684158324,57.2,1.2235430910110474,57.24,0,30
SGDM+WD,cifar10,3,1024,1,128,0.003,0.003,0.9,30,42,0.7377625651359558,80.498,1.2131817100524902,57.47,1.2128136470794677,57.47,0,30
SGDM+WD,cifar10,3,1024,1,128,0.003,0.01,0.9,30,42,1.2226539421844482,72.486,1.437603980255127,56.42,1.3390810678482057,56.42,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.001,0.9,30,42,0.2066476703596115,97.882,1.3133351881027222,57.07,1.249498356628418,57.37,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.003,0.9,30,42,0.5295805393791199,93.396,1.2550538146972656,57.19,1.248280835533142,57.27,0,30
SGDM+WD,cifar10,3,1024,1,128,0.01,0.01,0.9,30,42,1.4313955044555664,65.616,1.5709551437377929,54.22,1.4122586484909057,54.22,0,30
SGDM+WD,cifar10,3,1024,1,128,0.03,0.001,0.9,30,42,0.1204057527780532,99.024,1.4289430727005006,56.06,1.2493133003234864,56.38,0,30
SGDM+WD,cifar10,3,1024,1,128,0.03,0.003,0.9,30,42,0.5682007187271119,90.83,1.2124183115005494,58.53,1.2121412023544311,58.53,0,30
SGDM+WD,cifar10,3,1024,1,128,0.03,0.01,0.9,30,42,1.3403003691101074,65.722,1.482684394454956,55.17,1.4671169610977173,55.17,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.001,0.9,30,42,0.1714985836887359,97.446,1.3900238620758056,57.18,1.2840074653625488,57.24,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.01,0.9,30,42,1.3510044495391846,59.382,1.443849383544922,53.27,1.443849383544922,53.27,0,30
SGDM+WD,cifar10,3,1024,1,128,0.1,0.003,0.9,30,42,0.7783516627311706,78.684,1.2088187379837037,58.07,1.2088187379837037,58.07,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.001,0.9,30,42,0.4880054392433166,85.658,1.251944369506836,57.83,1.2370383766174315,57.83,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.003,0.9,30,42,1.0357516230010986,65.406,1.2590972087860108,54.74,1.2590972087860108,54.74,0,30
SGDM+WD,cifar10,3,1024,1,128,0.3,0.01,0.9,30,42,1.575084517173767,45.196,1.5951519920349122,43.98,1.5951519920349122,43.98,0,30
SGDM+WD,cifar10,3,1024,1,128,1.0,0.001,0.9,30,42,1.4559715773773194,45.702,1.560699529838562,42.91,1.560699529838562,42.91,0,30
SGDM+WD,cifar10,3,1024,1,128,1.0,0.003,0.9,30,42,1.9122216164398196,26.72,1.910226947402954,26.59,1.910226947402954,26.59,0,30
SGDM+WD,cifar10,3,1024,1,128,1.0,0.01,0.9,30,42,1.8502938639068605,32.732,1.8538428495407104,31.43,1.8538428495407104,31.43,0,30
SGDM+WD,cifar10,3,1024,1,128,3.0,0.001,0.9,30,42,2.302858081817627,9.856,2.302643946456909,10.0,2.1279358963012696,16.27,0,30
SGDM+WD,cifar10,3,1024,1,128,3.0,0.003,0.9,30,42,2.3028521939086914,9.86,2.302644223403931,10.0,2.119735263442993,20.93,0,30
SGDM+WD,cifar10,3,1024,1,128,3.0,0.01,0.9,30,42,1.923736951980591,25.688,1.9175235092163083,25.15,1.9175235092163083,25.15,0,30
