method,dataset,num_layers,hidden_dim,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,512,128,0.003,0.0003,0.5,30,42,1.3219343906402587,54.41,1.4056533958435058,50.76,1.4056533958435058,50.79,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.0001,0.5,30,42,1.3205825244522096,54.462,1.40512354221344,50.74,1.40512354221344,50.81,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.003,0.5,30,42,0.6822555848503112,79.874,1.2512351303100586,56.78,1.251188556289673,56.8,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.001,0.5,30,42,0.11558219370365143,98.902,1.6192607460021973,57.19,1.3070787881851196,57.19,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.01,0.5,30,42,1.0440811534118652,65.842,1.2655727699279786,55.47,1.2655727699279786,55.6,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.0001,0.5,30,42,0.39578295441627503,89.968,1.4293778854370116,56.5,1.2990450016021728,56.5,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.0003,0.5,30,42,0.9326787665176391,69.126,1.2838974014282227,55.36,1.2838974014282227,55.46,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.03,0.5,30,42,1.3577227853393554,53.442,1.4127255718231202,51.31,1.4127255718231202,51.31,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.0001,0.5,30,42,0.9267481321144104,69.372,1.2856180646896362,55.43,1.2856180646896362,55.54,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.03,0.5,30,42,1.49962404838562,47.776,1.519134012031555,47.04,1.519134012031555,47.14,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.003,0.5,30,42,1.3395835198974608,53.766,1.4131030166625977,50.67,1.4131030166625977,50.69,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.003,0.5,30,42,0.49307591142654417,87.292,1.2256656684875489,58.67,1.2256656684875489,58.67,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.01,0.5,30,42,1.382868502960205,52.042,1.4360122705459595,49.88,1.4360122705459595,49.93,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.0001,0.5,30,42,0.02158799012541771,99.966,2.2697833854675293,56.89,1.3240252492904663,56.92,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.03,0.5,30,42,1.382784961013794,52.432,1.4311033493041991,50.73,1.4311033493041991,50.75,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.003,0.5,30,42,1.0134488779830932,66.318,1.280684143638611,55.19,1.280684143638611,55.21,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.01,0.5,30,42,1.0324810713005066,66.248,1.247925181388855,56.29,1.247925181388855,56.32,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.0003,0.5,30,42,0.4224676689147949,88.746,1.4054812852859497,56.27,1.2959569389343262,56.33,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.001,0.5,30,42,0.4997199931526184,86.402,1.333903454208374,56.59,1.2846538064956665,56.59,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.001,0.5,30,42,1.3265471181869506,54.204,1.4074262687683106,50.69,1.4074262687683106,50.82,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.01,0.5,30,42,1.1638267709350585,60.7,1.3147243715286254,54.03,1.3147243715286254,54.03,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.001,0.5,30,42,0.9549984306144714,68.394,1.2816500026702882,55.19,1.2816500026702882,55.29,0,30
