method,dataset,num_layers,hidden_dim,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,512,128,0.01,0.01,0.9,20,42,0.8997039889526367,70.95,1.2269518756866455,56.76,1.2269518756866455,56.98,0,20
SGDM+WD,cifar10,3,512,128,0.01,0.003,0.9,20,42,0.4972851711463928,85.82,1.2842644037246704,57.69,1.2730181137084962,57.69,0,20
SGDM+WD,cifar10,3,512,128,0.01,0.001,0.9,20,42,0.3169400653171539,92.528,1.4067557369232178,57.27,1.3127034605026244,57.42,0,20
SGDM+WD,cifar10,3,512,128,0.03,0.003,0.9,20,42,0.5000988911628723,85.73,1.231368151664734,58.74,1.2290477005004883,58.82,0,20
SGDM+WD,cifar10,3,512,128,0.3,0.001,0.9,20,42,1.0952630763626099,61.126,1.3366983478546142,52.97,1.3366983478546142,52.97,0,20
SGDM+WD,cifar10,3,512,128,0.03,0.001,0.9,20,42,0.19683139891624452,96.39,1.5046462394714355,57.92,1.3357002073287965,58.05,0,20
SGDM+WD,cifar10,3,512,128,0.01,0.0003,0.9,20,42,0.24217557397842407,94.922,1.506698706626892,57.22,1.3146127153396607,57.4,0,20
SGDM+WD,cifar10,3,512,128,0.1,0.0003,0.9,20,42,0.6637782115364075,76.8,1.5050529159545898,54.72,1.4607864637374879,54.72,0,20
SGDM+WD,cifar10,3,512,128,0.1,0.001,0.9,20,42,0.6620246599388122,77.574,1.3320623054504395,56.17,1.327082506942749,56.17,0,20
SGDM+WD,cifar10,3,512,128,0.3,0.0003,0.9,20,42,2.3026786792755125,9.948,2.3026033336639404,10.0,2.3026033336639404,10.0,0,20
SGDM+WD,cifar10,3,512,128,0.3,0.003,0.9,20,42,1.1724080982589722,59.114,1.3345340208053589,53.27,1.3345340208053589,53.27,0,20
SGDM+WD,cifar10,3,512,128,0.1,0.003,0.9,20,42,0.8936143315887451,69.502,1.249494697189331,56.32,1.249494697189331,56.32,0,20
SGDM+WD,cifar10,3,512,128,0.03,0.0003,0.9,20,42,0.09864367959976196,98.682,1.8297797374725342,57.04,1.369069853401184,57.31,0,20
SGDM+WD,cifar10,3,512,128,0.3,0.01,0.9,20,42,2.302676280593872,9.95,2.302600872039795,10.0,2.183188243865967,18.13,0,20
SGDM+WD,cifar10,3,512,128,0.03,0.01,0.9,20,42,1.0005784225463867,66.734,1.2336682527542113,56.57,1.2336682527542113,56.57,0,20
SGDM+WD,cifar10,3,512,128,0.1,0.01,0.9,20,42,1.167929457206726,60.026,1.3081852270126342,54.39,1.3081852270126342,54.39,0,20
