method,dataset,num_layers,hidden_dim,use_bn,norm_output,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGD+WD,cifar10,3,1024,1,0,128,0.0003,0.001,0.0,30,42,1.5212369608306884,47.692,1.5509278308868408,46.39,1.5509181322097778,46.48,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.0003,0.01,0.0,30,42,1.5253675339508057,47.62,1.553909927558899,46.43,1.553909927558899,46.45,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.0003,0.0005,0.0,30,42,1.520996199684143,47.688,1.5507647087097167,46.39,1.5507551502227783,46.47,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.0003,0.0001,0.0,30,42,1.5208203325271603,47.692,1.550639813232422,46.43,1.550627750968933,46.48,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.0003,0.002,0.0,30,42,1.5216835432434082,47.676,1.5512451900482178,46.35,1.551240492630005,46.51,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.0003,0.005,0.0,30,42,1.5230662117767333,47.654,1.5522474615097046,46.4,1.5522474615097046,46.44,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.001,0.0001,0.0,30,42,1.2395482440948489,58.124,1.3674832971572877,52.06,1.3674832971572877,52.06,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.0003,0.05,0.0,30,42,1.5446260280227662,47.218,1.5683780576705932,46.12,1.5683780576705932,46.15,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.001,0.001,0.0,30,42,1.2410005422210693,58.074,1.3679405277252197,52.02,1.3679405277252197,52.02,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.001,0.005,0.0,30,42,1.2475172567367554,57.882,1.3699188791275023,52.11,1.3699188791275023,52.11,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.001,0.0005,0.0,30,42,1.2402388455963134,58.118,1.3678564245224,52.0,1.3678564245224,52.0,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.001,0.002,0.0,30,42,1.2425818438339231,58.044,1.368297039604187,51.99,1.368297039604187,51.99,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.001,0.01,0.0,30,42,1.2556391552734374,57.674,1.372636711883545,51.96,1.372636711883545,51.96,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.001,0.05,0.0,30,42,1.3212365576553344,55.728,1.401565115737915,51.43,1.401565115737915,51.57,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.003,0.0001,0.0,30,42,0.7571886044120788,77.658,1.2438422122955322,55.9,1.2433655879974366,56.19,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.003,0.0005,0.0,30,42,0.7596441035842896,77.55,1.2430460622787476,55.98,1.2423812240600587,56.32,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.003,0.001,0.0,30,42,0.7625457690429688,77.502,1.2431799242019654,55.99,1.2426105897903443,56.3,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.003,0.002,0.0,30,42,0.7678016380691528,77.4,1.240875139427185,56.22,1.240407312965393,56.33,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.003,0.005,0.0,30,42,0.7841336082077026,76.812,1.2386601442337035,56.3,1.23824931640625,56.42,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.003,0.01,0.0,30,42,0.8103316829299927,76.092,1.2338901473999024,56.3,1.2334440677642822,56.45,0,30
SGD+WD,cifar10,3,1024,1,0,128,0.003,0.05,0.0,30,42,0.9982160683822632,70.71,1.2629940423965453,56.25,1.2629940423965453,56.36,0,30
