method,dataset,num_layers,hidden_dim,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,512,128,0.03,0.01,0.9,30,42,0.9338326805496215,69.51,1.219814084815979,57.15,1.219814084815979,57.15,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.0003,0.9,30,42,0.06369433930158615,99.54,1.8948059944152833,57.09,1.3067270017623902,57.27,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.03,0.9,30,42,1.3293645101165772,54.44,1.3959805103302,51.74,1.3959805103302,51.76,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.0001,0.9,30,42,0.01641948117554188,99.956,2.5632864681243896,56.37,1.3695698616027832,56.37,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.0001,0.9,30,42,0.052863339819908144,99.62,1.984592795562744,57.19,1.3111626094818116,57.21,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.0003,0.9,30,42,0.4467145945262909,85.486,1.692804875946045,54.6,1.529683960533142,54.6,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.03,0.9,30,42,1.3604408939743042,53.182,1.412963912010193,51.09,1.412963912010193,51.16,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.001,0.9,30,42,0.49657201018333436,84.15,1.4212082876205445,56.12,1.3663416931152343,56.12,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.01,0.9,30,42,0.8860675056266785,71.636,1.2447647535324096,56.13,1.2447647535324096,56.13,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.001,0.9,30,42,0.45269038986206056,87.994,1.388424872970581,55.98,1.3087812273025512,55.98,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.001,0.9,30,42,0.11574461783885956,98.734,1.6642582107543946,57.31,1.3128368825912475,57.4,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.0001,0.9,30,42,0.39780330834388733,89.792,1.44012107963562,55.92,1.3117263708114624,55.92,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.003,0.9,30,42,0.7804515661239624,74.042,1.255805303955078,56.67,1.255805303955078,56.67,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.001,0.9,30,42,0.07915423562526702,99.452,1.6843282474517822,57.87,1.341786171913147,57.87,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.01,0.9,30,42,0.8021137000274658,75.29,1.215179154396057,57.46,1.215179154396057,57.46,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.0003,0.9,30,42,0.4103775088405609,89.322,1.4291413614273072,55.69,1.3115711362838745,55.82,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.003,0.9,30,42,0.29066163467407224,93.954,1.3852114318847657,57.71,1.2812508964538574,57.8,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.003,0.9,30,42,0.563507598657608,83.934,1.3069705139160157,56.31,1.2937463914871217,56.31,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.0003,0.9,30,42,0.025910606294870377,99.938,2.227663493347168,56.57,1.377273595046997,56.59,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.03,0.9,30,42,1.4084252780532838,51.29,1.4435655361175537,49.92,1.4435655361175537,49.92,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.0001,0.9,30,42,0.5591834805297852,80.488,1.9120884727478027,52.16,1.702275322532654,52.16,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.03,0.9,30,42,1.3266193270492554,54.674,1.3913593555450439,52.07,1.3913593555450439,52.07,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.01,0.9,30,42,1.107555737171173,62.342,1.2917936164855957,54.81,1.2917936164855957,54.81,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.003,0.9,30,42,0.3385248679161072,92.23,1.293601432800293,58.72,1.2743460929870605,58.93,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.0001,0.9,30,42,2.3026160437774656,10.0,2.3025887378692627,10.0,2.3025887378692627,11.64,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.0003,0.9,30,42,0.9287296926689148,67.044,1.391891381072998,53.57,1.391891381072998,53.57,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.001,0.9,30,42,0.9205915253067016,67.556,1.324620873260498,54.6,1.324620873260498,54.6,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.0001,0.9,30,42,2.3027002751922607,9.914,2.3025995361328127,10.0,2.3025995361328127,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.003,0.9,30,42,1.0671900485420227,62.122,1.3127787172317504,53.99,1.3127787172317504,53.99,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.03,0.9,30,42,1.4412750259399414,49.93,1.4640842882156373,49.26,1.4640842882156373,49.26,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.0003,0.9,30,42,2.302700174407959,9.914,2.302599390411377,10.0,2.302599390411377,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.0001,0.9,30,42,1.1605814388656617,58.038,1.4564111129760742,50.3,1.4564111129760742,50.3,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.001,0.9,30,42,2.3026998680877684,9.964,2.302599368286133,10.0,2.302599368286133,10.0,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.01,0.9,30,42,1.3559914728164673,51.974,1.3981194551467895,50.86,1.3981194551467895,50.86,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.01,0.9,30,42,2.3026155096435548,10.0,2.302588721084595,10.0,2.240167839050293,18.06,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.003,0.9,30,42,2.3026989727020264,9.958,2.302599129486084,10.0,2.302599129486084,13.52,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.03,0.9,30,42,1.5049970386123657,47.192,1.4994381910324097,47.83,1.4994381910324097,47.83,0,30
SGDM+WD,cifar10,3,512,128,0.7,0.0001,0.9,30,42,2.3026633473968507,9.938,2.3025952980041504,10.0,2.3025952980041504,10.0,0,30
SGDM+WD,cifar10,3,512,128,1.5,0.0001,0.9,30,42,2.302753865585327,10.114,2.3026074394226073,10.0,2.3026074394226073,10.0,0,30
SGDM+WD,cifar10,3,512,128,2.0,0.0001,0.9,30,42,2.3027981475830077,10.042,2.3026192195892334,10.0,2.3026192195892334,10.0,0,30
SGDM+WD,cifar10,3,512,128,3.0,0.0001,0.9,30,42,2.302874387283325,9.94,2.3026501384735107,10.0,2.3026501384735107,10.0,0,30
SGDM+WD,cifar10,3,512,128,10.0,0.0001,0.9,30,42,2.303255199432373,9.794,2.302767714691162,10.0,2.302767714691162,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.0003,0.9,30,42,1.993195223312378,19.234,1.9974273807525635,18.94,1.9974273807525635,18.94,0,30
SGDM+WD,cifar10,3,512,128,0.7,0.0003,0.9,30,42,2.302663299484253,9.938,2.3025952011108397,10.0,2.3025952011108397,10.0,0,30
SGDM+WD,cifar10,3,512,128,1.5,0.0003,0.9,30,42,2.3027536704254152,10.114,2.302607299423218,10.0,2.302607299423218,10.62,0,30
SGDM+WD,cifar10,3,512,128,2.0,0.0003,0.9,30,42,2.3027978754425047,10.056,2.3026193115234377,10.0,2.3026193115234377,10.01,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.001,0.9,30,42,0.7907019858551025,72.3,1.3305814819335937,55.07,1.3305814819335937,55.1,0,30
SGDM+WD,cifar10,3,512,128,3.0,0.0003,0.9,30,42,2.3028739784240724,9.94,2.302650168609619,10.0,2.302650168609619,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.003,0.9,30,42,0.9600701372146606,67.358,1.2905996139526368,55.14,1.2905996139526368,55.14,0,30
SGDM+WD,cifar10,3,512,128,1.5,0.001,0.9,30,42,2.302752993850708,10.114,2.302607287979126,10.0,2.302607287979126,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.7,0.001,0.9,30,42,2.302663158493042,9.938,2.3025949600219726,10.0,2.3025949600219726,10.0,0,30
SGDM+WD,cifar10,3,512,128,2.0,0.001,0.9,30,42,2.302796917190552,10.068,2.302619066619873,10.0,2.302619066619873,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.001,0.9,30,42,1.106955423297882,60.784,1.3546812189102173,52.39,1.3546812189102173,52.39,0,30
SGDM+WD,cifar10,3,512,128,0.7,0.003,0.9,30,42,2.302662760467529,9.992,2.302594895172119,10.0,2.215781328582764,16.16,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.01,0.9,30,42,1.214462854785919,57.584,1.3456779163360595,52.42,1.3456779163360595,52.42,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.003,0.9,30,42,2.302638462371826,10.0,2.3025919189453123,10.0,2.2964694675445556,14.81,0,30
