method,dataset,num_layers,hidden_dim,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,512,512,0.2,0.001,0.9,30,42,0.2584195646524429,93.432,1.5741727012634277,57.24,1.4128487606048583,57.24,0,30
SGDM+WD,cifar10,3,512,512,0.2,0.0003,0.9,30,42,0.1696223826646805,95.754,1.9808137287139893,55.7,1.4978866491317748,55.71,0,30
SGDM+WD,cifar10,3,512,512,0.2,0.0001,0.9,30,42,0.18046427968502043,94.93,2.235027607345581,55.13,1.5515137266159058,55.13,0,30
SGDM+WD,cifar10,3,512,512,0.2,0.003,0.9,30,42,0.5687899900817871,82.586,1.244031717300415,58.22,1.244031717300415,58.22,0,30
SGDM+WD,cifar10,3,512,256,0.1,0.001,0.9,30,42,0.18664291100025177,96.288,1.600327296257019,57.15,1.4158761060714722,57.33,0,30
SGDM+WD,cifar10,3,512,256,0.1,0.0003,0.9,30,42,0.10920092216730118,97.866,2.0800588214874267,55.93,1.519736750793457,55.97,0,30
SGDM+WD,cifar10,3,512,256,0.1,0.0001,0.9,30,42,0.11171395934581757,97.448,2.4226293674468993,54.39,1.5331326000213623,54.67,0,30
SGDM+WD,cifar10,3,512,256,0.1,0.01,0.9,30,42,1.0104229403686524,66.15,1.2441500658035278,56.07,1.2441500658035278,56.07,0,30
SGDM+WD,cifar10,3,512,256,0.1,0.003,0.9,30,42,0.5004300207328797,85.494,1.243006792640686,58.24,1.243006792640686,58.24,0,30
SGDM+WD,cifar10,3,512,128,0.05,0.003,0.9,30,42,0.4724550007820129,86.784,1.2410266487121582,59.13,1.2391001899719238,59.21,0,30
SGDM+WD,cifar10,3,512,128,0.05,0.0001,0.9,30,42,0.060407804459929465,99.004,2.584668939590454,55.44,1.5169834856033326,55.59,0,30
SGDM+WD,cifar10,3,512,128,0.05,0.0003,0.9,30,42,0.06520013682961463,99.19,2.16190895690918,55.66,1.4933834033966065,55.79,0,30
SGDM+WD,cifar10,3,512,128,0.05,0.001,0.9,30,42,0.1444329971909523,97.77,1.602852784538269,57.49,1.4188599531173707,57.64,0,30
SGDM+WD,cifar10,3,512,128,0.05,0.01,0.9,30,42,1.0042486994934081,66.474,1.2402679580688476,56.86,1.2402679580688476,56.86,0,30
SGDM+WD,cifar10,3,512,64,0.025,0.003,0.9,30,42,0.45134991839885713,87.628,1.2390039581298828,59.31,1.2352585624694825,59.31,0,30
SGDM+WD,cifar10,3,512,64,0.025,0.0003,0.9,30,42,0.05006709408804774,99.546,2.223584475708008,55.87,1.4947619386672975,55.88,0,30
SGDM+WD,cifar10,3,512,64,0.025,0.01,0.9,30,42,1.0020748847293854,66.504,1.236867177772522,56.99,1.236867177772522,56.99,0,30
SGDM+WD,cifar10,3,512,64,0.025,0.0001,0.9,30,42,0.04237238259553909,99.496,2.669586627960205,55.19,1.5196095291137695,55.25,0,30
SGDM+WD,cifar10,3,512,64,0.025,0.001,0.9,30,42,0.1210111814713478,98.522,1.6181738704681397,57.67,1.4284686040878296,57.67,0,30
SGDM+WD,cifar10,3,512,32,0.0125,0.003,0.9,30,42,0.4387426050376892,88.228,1.245894880104065,59.41,1.2442466482162475,59.43,0,30
SGDM+WD,cifar10,3,512,32,0.0125,0.001,0.9,30,42,0.10882630769014358,98.85,1.6396354537963866,57.75,1.387160909461975,57.86,0,30
SGDM+WD,cifar10,3,512,512,0.2,0.01,0.9,30,42,1.022846432571411,65.666,1.2458146356582642,56.16,1.2458146356582642,56.16,0,30
SGDM+WD,cifar10,3,512,32,0.0125,0.01,0.9,30,42,0.9989750273132324,66.602,1.234854691886902,56.56,1.234854691886902,56.56,0,30
SGDM+WD,cifar10,3,512,32,0.0125,0.0001,0.9,30,42,0.03739702459976077,99.534,2.688531304550171,55.17,1.52895458984375,55.28,0,30
SGDM+WD,cifar10,3,512,32,0.0125,0.0003,0.9,30,42,0.042030549581944944,99.666,2.2822458408355715,55.73,1.4926322568893433,55.89,0,30
