method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.001,0,0,44.39,1.965218989906311,44.39
SGD,128,0.005,0,0,64.68,0.3239024906349182,64.7
SGD,128,0.01,0,0,68.35,0.06354965277194977,68.46
SGD,128,0.05,0,0,72.6,0.006939149806499481,72.82
SGD,128,0.1,0,0,73.1,0.004301996986269951,73.37
SGD,128,0.5,0,0,70.88,0.00277253404378891,71.0
SGD,128,1.0,0,0,69.6,0.002571264016032219,69.92
SGD,128,2.0,0,0,67.84,0.0034815199410915374,68.07
SGD+WD,128,0.001,0.0005,0,44.5,1.965697159347534,44.58
SGD+WD,128,0.005,0.0005,0,64.38,0.3277743225479126,64.4
SGD+WD,128,0.01,0.0005,0,67.96,0.06339941681146621,68.22
SGD+WD,128,0.05,0.0005,0,73.84,0.010606980773210525,73.97
SGD+WD,128,0.1,0.0005,0,75.23,0.00972402517259121,75.38
SGD+WD,128,0.5,0.0005,0,76.94,0.010499169090986252,77.13
SGD+WD,128,1.0,0.0005,0,76.29,0.011691298435032367,76.3
SGD+WD,128,2.0,0.0005,0,76.16,0.015703176313638687,76.18
SGDM+WD,128,0.001,0.0005,0.9,68.15,0.060077583713531495,68.38
SGDM+WD,128,0.005,0.0005,0.9,73.45,0.010350070324540139,73.67
SGDM+WD,128,0.01,0.0005,0.9,75.1,0.009694323761463165,75.28
SGDM+WD,128,0.05,0.0005,0.9,76.6,0.009765321654081345,76.6
SGDM+WD,128,0.1,0.0005,0.9,77.31,0.011202979490160941,77.45
SGDM+WD,128,0.5,0.0005,0.9,74.62,0.08661636420488357,74.62
SGDM+WD,128,1.0,0.0005,0.9,54.83,1.3528159448242187,54.84
SGDM+WD,128,2.0,0.0005,0.9,1.0,4.6049740625,4.07
