method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.001,0.0,0.0,44.39,1.965218989906311,44.39
SGD,128,0.005,0.0,0.0,64.68,0.3239024906349182,64.7
SGD,128,0.01,0.0,0.0,68.35,0.0635496527719497,68.46
SGD,128,0.05,0.0,0.0,72.6,0.0069391498064994,72.82
SGD,128,0.1,0.0,0.0,73.1,0.0043019969862699,73.37
SGD,128,0.5,0.0,0.0,70.88,0.0027725340437889,71.0
SGD,128,1.0,0.0,0.0,69.6,0.0025712640160322,69.92
SGD,128,2.0,0.0,0.0,67.84,0.0034815199410915,68.07
SGD+WD,128,0.001,0.0005,0.0,44.5,1.965697159347534,44.58
SGD+WD,128,0.005,0.0005,0.0,64.38,0.3277743225479126,64.4
SGD+WD,128,0.01,0.0005,0.0,67.96,0.0633994168114662,68.22
SGD+WD,128,0.05,0.0005,0.0,73.84,0.0106069807732105,73.97
SGD+WD,128,0.1,0.0005,0.0,75.23,0.0097240251725912,75.38
SGD+WD,128,0.5,0.0005,0.0,76.94,0.0104991690909862,77.13
SGD+WD,128,1.0,0.0005,0.0,76.29,0.0116912984350323,76.3
SGD+WD,128,2.0,0.0005,0.0,76.16,0.0157031763136386,76.18
SGDM+WD,128,0.001,0.0005,0.9,68.15,0.0600775837135314,68.38
SGDM+WD,128,0.005,0.0005,0.9,73.45,0.0103500703245401,73.67
SGDM+WD,128,0.01,0.0005,0.9,75.1,0.0096943237614631,75.28
SGDM+WD,128,0.05,0.0005,0.9,76.6,0.0097653216540813,76.6
SGDM+WD,128,0.1,0.0005,0.9,77.31,0.0112029794901609,77.45
SGDM+WD,128,0.5,0.0005,0.9,74.62,0.0866163642048835,74.62
SGDM+WD,128,1.0,0.0005,0.9,54.83,1.3528159448242187,54.84
SGDM+WD,128,2.0,0.0005,0.9,1.0,4.6049740625,4.07
SGDM,128,0.01,0.0001,0.9,73.53,0.0053421123883128,73.61
SGDM,128,0.01,0.0002,0.9,73.93,0.0062963613054156,74.04
SGDM,128,0.01,0.0005,0.9,75.1,0.0096943237614631,75.28
SGDM,128,0.01,0.001,0.9,76.14,0.012980621458292,76.49
SGDM,128,0.01,0.002,0.9,76.92,0.0246134534800052,77.1
SGDM,128,0.01,0.005,0.9,77.28,0.0573222658777236,77.51
SGDM,128,0.01,0.01,0.9,77.3,0.128161006398201,77.57
SGDM,128,0.05,0.0001,0.9,74.53,0.0039050285673141,74.53
SGDM,128,0.05,0.0002,0.9,74.96,0.0055681157064437,75.05
SGDM,128,0.05,0.0005,0.9,76.6,0.0097653216540813,76.6
SGDM,128,0.05,0.001,0.9,78.37,0.0167596913683414,78.56
SGDM,128,0.05,0.002,0.9,77.92,0.0337084003460407,78.02
SGDM,128,0.05,0.005,0.9,75.55,0.221790462436676,75.69
SGDM,128,0.05,0.01,0.9,68.61,0.8931385684204102,68.83
SGDM,128,0.1,0.01,0.9,47.11,2.0629009046936035,47.11
SGDM,128,0.2,0.0001,0.9,73.77,0.0051659230111539,73.83
SGDM,128,0.2,0.0002,0.9,75.45,0.0076464833024144,75.56
SGDM,128,0.2,0.0005,0.9,76.38,0.0151055104258656,76.38
SGDM,128,0.2,0.001,0.9,75.24,0.0482652546572685,75.24
SGDM,128,0.2,0.002,0.9,71.08,0.3251362955379486,71.19
SGDM,128,0.2,0.005,0.9,35.37,2.5601444743347166,35.37
SGDM,128,0.2,0.01,0.9,1.0,4.60546875,4.27
SGDM,128,0.3,0.0001,0.9,75.36,0.0047490020869672,75.43
SGDM,128,0.3,0.0002,0.9,75.87,0.0071351636889576,76.1
SGDM,128,0.3,0.0005,0.9,75.27,0.0212063800776004,75.36
SGDM,128,0.3,0.001,0.9,73.23,0.1114140856552124,73.23
SGDM,128,0.3,0.002,0.9,63.33,0.884283791732788,63.33
SGDM,128,0.3,0.005,0.9,19.91,3.34525795791626,19.91
SGDM,128,0.3,0.01,0.9,2.63,4.415122578277588,3.01
SGDM,64,0.05,0.0001,0.9,74.63,0.0046703289127349,74.76
SGDM,64,0.05,0.0002,0.9,75.97,0.0067959898185729,76.2
SGDM,64,0.05,0.0005,0.9,77.05,0.0122993745470047,77.17
SGDM,64,0.05,0.001,0.9,78.18,0.0230911409473419,78.52
SGDM,64,0.05,0.002,0.9,76.74,0.0659036063671112,76.85
SGDM,64,0.05,0.005,0.9,71.33,0.6498139223098754,71.33
SGDM,128,0.1,0.0001,0.9,72.75,0.0048263508731126,72.79
SGDM,128,0.1,0.0002,0.9,75.43,0.0061154996612668,75.54
SGDM,128,0.1,0.0005,0.9,77.31,0.0112029794901609,77.45
SGDM,128,0.1,0.001,0.9,76.97,0.0215252461111545,76.97
SGDM,128,0.1,0.002,0.9,76.3,0.064482433745861,76.3
SGDM,128,0.1,0.005,0.9,68.0,0.8373217379760742,68.0
SGDM,256,0.2,0.0001,0.9,72.36,0.0045290628010034,72.45
SGDM,256,0.2,0.0002,0.9,74.75,0.0058512792062759,74.9
SGDM,256,0.2,0.0005,0.9,77.24,0.0103356724208593,77.33
SGDM,256,0.2,0.001,0.9,77.07,0.0204868518829345,77.18
SGDM,256,0.2,0.002,0.9,74.63,0.0766334294605255,74.65
SGDM,256,0.2,0.005,0.9,63.84,1.0456799996948245,63.84
SGDM,512,0.4,0.0001,0.9,70.72,0.0048201744891703,70.81
SGDM,512,0.4,0.0002,0.9,73.2,0.0064915829378366,73.32
SGDM,512,0.4,0.0005,0.9,75.14,0.010795544309616,75.24
SGDM,512,0.4,0.001,0.9,75.36,0.0214706633919477,75.42
SGDM,512,0.4,0.002,0.9,73.91,0.0966638373684883,74.0
SGDM,512,0.4,0.005,0.9,53.1,1.643054214897156,53.1
SGDM,128,0.001,1e-05,0.9,67.63,0.0604266613149643,67.7
SGDM,128,0.001,2e-05,0.9,67.89,0.06041480025053024,68.05
SGDM,128,0.001,5e-05,0.9,67.55,0.0623441835641861,67.79
SGDM,128,0.005,1e-05,0.9,72.58,0.0064080655387043954,72.84
SGDM,128,0.005,2e-05,0.9,72.14,0.006440090064704418,72.24
SGDM,128,0.005,5e-05,0.9,72.63,0.0067939699509739875,72.67
SGDM,128,0.01,1e-05,0.9,72.95,0.004335750648975372,73.17
SGDM,128,0.01,2e-05,0.9,72.99,0.004374065678417683,73.07
SGDM,128,0.01,5e-05,0.9,73.07,0.004624259355664254,73.48
