Model_Name,BS_Type,LR,WD,Accuracy,Checkpoint_Path
bs_large__baseline__lr_2e-4__wd_1e-2,large,2e-4,1e-2,0.2167,outputs/bs_large__baseline__lr_2e-4__wd_1e-2/checkpoint-6144
bs_large__fixlr_wd0__lr_2e-4__wd_1e-3,large,2e-4,1e-3,0.2200,outputs/bs_large__fixlr_wd0__lr_2e-4__wd_1e-3/checkpoint-6144
bs_large__fixlr_wd1e-1__lr_2e-4__wd_1e-1,large,2e-4,1e-1,0.2200,outputs/bs_large__fixlr_wd1e-1__lr_2e-4__wd_1e-1/checkpoint-6144
bs_large__fixlr_wd5e-1__lr_2e-4__wd_5e-1,large,2e-4,5e-1,0.2000,outputs/bs_large__fixlr_wd5e-1__lr_2e-4__wd_5e-1/checkpoint-6144
bs_large__fixlr_wd5e-2__lr_2e-4__wd_5e-2,large,2e-4,5e-2,0.2233,outputs/bs_large__fixlr_wd5e-2__lr_2e-4__wd_5e-2/checkpoint-6144
bs_large__fixlr_wd5e-3__lr_2e-4__wd_5e-3,large,2e-4,5e-3,0.2200,outputs/bs_large__fixlr_wd5e-3__lr_2e-4__wd_5e-3/checkpoint-6144
bs_large__fixwd_lr1e-3__lr_1e-3__wd_1e-2,large,1e-3,1e-2,0.3100,outputs/bs_large__fixwd_lr1e-3__lr_1e-3__wd_1e-2/checkpoint-6144
bs_large__fixwd_lr1e-4__lr_1e-4__wd_1e-2,large,1e-4,1e-2,0.2833,outputs/bs_large__fixwd_lr1e-4__lr_1e-4__wd_1e-2/checkpoint-6144
bs_large__fixwd_lr5e-3__lr_5e-3__wd_1e-2,large,5e-3,1e-2,0.5533,outputs/bs_large__fixwd_lr5e-3__lr_5e-3__wd_1e-2/checkpoint-6144
bs_large__fixwd_lr5e-4__lr_5e-4__wd_1e-2,large,5e-4,1e-2,0.2167,outputs/bs_large__fixwd_lr5e-4__lr_5e-4__wd_1e-2/checkpoint-6144
bs_small__baseline__lr_2e-4__wd_1e-2,small,2e-4,1e-2,0.3167,outputs/bs_small__baseline__lr_2e-4__wd_1e-2/checkpoint-24567
bs_small__fixlr_wd0__lr_2e-4__wd_1e-3,small,2e-4,1e-3,0.3500,outputs/bs_small__fixlr_wd0__lr_2e-4__wd_1e-3/checkpoint-24567
bs_small__fixlr_wd1e-1__lr_2e-4__wd_1e-1,small,2e-4,1e-1,0.2733,outputs/bs_small__fixlr_wd1e-1__lr_2e-4__wd_1e-1/checkpoint-24567
bs_small__fixlr_wd5e-1__lr_2e-4__wd_5e-1,small,2e-4,5e-1,0.2400,outputs/bs_small__fixlr_wd5e-1__lr_2e-4__wd_5e-1/checkpoint-24567
bs_small__fixlr_wd5e-2__lr_2e-4__wd_5e-2,small,2e-4,5e-2,0.2600,outputs/bs_small__fixlr_wd5e-2__lr_2e-4__wd_5e-2/checkpoint-24567
bs_small__fixlr_wd5e-3__lr_2e-4__wd_5e-3,small,2e-4,5e-3,0.3300,outputs/bs_small__fixlr_wd5e-3__lr_2e-4__wd_5e-3/checkpoint-24567
bs_small__fixwd_lr1e-3__lr_1e-3__wd_1e-2,small,1e-3,1e-2,0.5167,outputs/bs_small__fixwd_lr1e-3__lr_1e-3__wd_1e-2/checkpoint-24567
bs_small__fixwd_lr1e-4__lr_1e-4__wd_1e-2,small,1e-4,1e-2,0.2367,outputs/bs_small__fixwd_lr1e-4__lr_1e-4__wd_1e-2/checkpoint-24567
bs_small__fixwd_lr5e-3__lr_5e-3__wd_1e-2,small,5e-3,1e-2,0.5300,outputs/bs_small__fixwd_lr5e-3__lr_5e-3__wd_1e-2/checkpoint-24567
bs_small__fixwd_lr5e-4__lr_5e-4__wd_1e-2,small,5e-4,1e-2,0.5333,outputs/bs_small__fixwd_lr5e-4__lr_5e-4__wd_1e-2/checkpoint-24567
