method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.01,0,0,68.35,0.06354965277194977,68.46
SGD,128,0.02,0,0,70.2,0.01784279038608074,70.27
SGD,128,0.03,0,0,71.83,0.010558518314361573,71.92
SGD,128,0.05,0,0,72.6,0.006939149806499481,72.82
SGD,128,0.07,0,0,72.97,0.005344516565650701,73.19
SGD,128,0.1,0,0,73.1,0.004301996986269951,73.37
SGD,128,0.15,0,0,73.28,0.00359317753046751,73.39
SGD,128,0.2,0,0,72.86,0.0030867778682708742,72.97
SGD,128,0.3,0,0,73.23,0.002800745663717389,73.61
SGD,128,0.5,0,0,70.88,0.00277253404378891,71.0
SGD,128,0.7,0,0,71.53,0.0024229939794540405,71.79
SGD,128,1.0,0,0,69.6,0.002571264016032219,69.92
SGD,128,1.5,0,0,68.94,0.0030598463917151093,69.04
SGD,128,2.0,0,0,67.84,0.0034815199410915374,68.07
SGD,128,3.0,0,0,68.18,0.0033409037518501283,68.4
SGD+WD,128,0.01,0.0005,0,67.96,0.06339941681146621,68.22
SGD+WD,128,0.02,0.0005,0,71.16,0.01979671951055527,71.35
SGD+WD,128,0.03,0.0005,0,72.44,0.01375019360601902,72.67
SGD+WD,128,0.05,0.0005,0,73.84,0.010606980773210525,73.97
SGD+WD,128,0.07,0.0005,0,74.26,0.010389096970260144,74.52
SGD+WD,128,0.1,0.0005,0,75.23,0.00972402517259121,75.38
SGD+WD,128,0.15,0.0005,0,75.84,0.008995351857841016,75.91
SGD+WD,128,0.2,0.0005,0,75.85,0.008971794535517693,76.22
SGD+WD,128,0.3,0.0005,0,76.67,0.009621867317557336,76.83
SGD+WD,128,0.5,0.0005,0,76.94,0.010499169090986252,77.13
SGD+WD,128,0.7,0.0005,0,76.64,0.01102387751609087,76.87
SGD+WD,128,1.0,0.0005,0,76.29,0.011691298435032367,76.3
SGD+WD,128,1.5,0.0005,0,77.1,0.013061061841845512,77.37
SGD+WD,128,2.0,0.0005,0,76.16,0.015703176313638687,76.18
SGD+WD,128,3.0,0.0005,0,76.24,0.021283425642848016,76.31
SGDM+WD,128,0.01,0.0005,0.9,75.1,0.009694323761463165,75.28
SGDM+WD,128,0.02,0.0005,0.9,75.9,0.008943132553696633,76.09
SGDM+WD,128,0.03,0.0005,0.9,76.36,0.009315453285574912,76.62
SGDM+WD,128,0.05,0.0005,0.9,76.6,0.009765321654081345,76.6
SGDM+WD,128,0.07,0.0005,0.9,76.81,0.01031858535528183,76.87
SGDM+WD,128,0.1,0.0005,0.9,77.31,0.011202979490160941,77.45
SGDM+WD,128,0.15,0.0005,0.9,76.52,0.012817032561302184,76.65
SGDM+WD,128,0.2,0.0005,0.9,76.38,0.01510551042586565,76.38
SGDM+WD,128,0.3,0.0005,0.9,75.27,0.02120638007760048,75.36
SGDM+WD,128,0.5,0.0005,0.9,74.62,0.08661636420488357,74.62
SGDM+WD,128,0.7,0.0005,0.9,70.08,0.2982551717853546,70.13
SGDM+WD,128,1.0,0.0005,0.9,54.83,1.3528159448242187,54.84
SGDM+WD,128,1.5,0.0005,0.9,6.14,4.074560043640137,6.16
SGDM+WD,128,2.0,0.0005,0.9,1.0,4.6049740625,4.07
SGDM+WD,128,3.0,0.0005,0.9,1.0,4.605189062347412,3.06
SGDM,128,0.01,1e-05,0.9,73.28,0.0043917172193527225,73.61
SGDM,128,0.01,5e-05,0.9,73.28,0.004641407318413258,73.28
SGDM,128,0.01,0.0001,0.9,73.53,0.005342112388312816,73.61
SGDM,128,0.01,0.0002,0.9,73.93,0.006296361305415631,74.04
SGDM,128,0.01,0.0005,0.9,75.1,0.009694323761463165,75.28
SGDM,128,0.01,0.001,0.9,76.14,0.012980621458292008,76.49
SGDM,128,0.01,0.002,0.9,76.92,0.024613453480005265,77.1
SGDM,128,0.01,0.005,0.9,77.28,0.057322265877723697,77.51
SGDM,128,0.02,1e-05,0.9,73.06,0.003138848941400647,73.38
SGDM,128,0.02,5e-05,0.9,73.74,0.0036505051635205748,73.74
SGDM,128,0.02,0.0001,0.9,73.56,0.004375065212249756,73.77
SGDM,128,0.02,0.0002,0.9,74.39,0.005781818590313196,74.43
SGDM,128,0.02,0.0005,0.9,75.9,0.008943132553696633,76.09
SGDM,128,0.02,0.001,0.9,76.84,0.014863121052980424,76.94
SGDM,128,0.02,0.002,0.9,78.1,0.026475304871797563,78.2
SGDM,128,0.02,0.005,0.9,77.95,0.07126241387844086,77.95
SGDM,128,0.05,1e-05,0.9,72.97,0.0023261709378659726,73.16
SGDM,128,0.05,5e-05,0.9,73.05,0.0030556906890496613,73.17
SGDM,128,0.05,0.0001,0.9,74.53,0.003905028567314148,74.53
SGDM,128,0.05,0.0002,0.9,74.96,0.0055681157064437865,75.05
SGDM,128,0.05,0.0005,0.9,76.6,0.009765321654081345,76.6
SGDM,128,0.05,0.001,0.9,78.37,0.016759691368341444,78.56
SGDM,128,0.05,0.002,0.9,77.92,0.03370840034604072,78.02
SGDM,128,0.05,0.005,0.9,75.55,0.22179046243667602,75.69
SGDM,128,0.1,1e-05,0.9,71.29,0.002030802340507507,71.3
SGDM,128,0.1,5e-05,0.9,72.79,0.0032983765841275454,72.99
SGDM,128,0.1,0.0001,0.9,72.75,0.004826350873112679,72.79
