method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGDM,128,0.15,0.0,0.6,72.99,0.0024241291093081234,73.13
SGDM,128,0.1,0.0,0.6,72.94,0.002617955592870712,73.07
SGDM,128,0.1,0.0,0.5,73.11,0.0030742548705637454,73.26
SGDM,128,0.4,0.0,0.5,70.42,0.0022405520414933563,70.43
SGDM,128,0.05,0.0,0.5,73.35,0.0042085114169120785,73.45
SGDM,128,0.15,0.0,0.5,73.39,0.0028006225407123564,73.39
SGDM,128,0.2,0.0,0.5,72.58,0.002661908640563488,72.93
SGDM,128,0.05,0.0,0.6,73.34,0.0037549272680282592,73.48
SGDM,128,0.25,0.0,0.5,72.45,0.0022407809974253176,72.58
SGDM,128,0.3,0.0,0.5,73.14,0.001960872232913971,73.26
SGDM,128,0.25,0.0,0.6,71.88,0.0021491598223894836,71.96
SGDM,128,0.4,0.0,0.6,69.24,0.0021839953614026307,69.28
SGDM,128,0.2,0.0,0.6,72.65,0.002240603494644165,72.94
SGDM,128,0.3,0.0,0.6,71.93,0.0019220124271512031,72.06
SGDM,128,0.05,0.0,0.7,73.49,0.0032587631514668465,73.62
SGDM,128,0.1,0.0,0.7,73.38,0.002428908831998706,73.38
SGDM,128,0.15,0.0,0.7,72.39,0.002467686943933368,72.48
SGDM,128,0.2,0.0,0.7,72.54,0.002225899253040552,72.56
SGDM,128,0.25,0.0,0.7,71.6,0.0018075465634465218,71.75
SGDM,128,0.3,0.0,0.7,71.39,0.0017576920056715608,71.69
SGDM,128,0.15,0.0,0.8,70.61,0.0023471532393991947,70.75
SGDM,128,0.4,0.0,0.7,70.22,0.0016868693137913943,70.36
SGDM,128,0.3,0.0,0.8,70.09,0.0018123032858967782,70.44
SGDM,128,0.1,0.0,0.8,72.89,0.0021128418492898345,72.9
SGDM,128,0.25,0.0,0.8,70.31,0.0017985495878010988,70.53
SGDM,128,0.2,0.0,0.8,69.97,0.002157822792492807,70.14
SGDM,128,0.4,0.0,0.8,68.74,0.0020153065180405975,68.92
SGDM,128,0.05,0.0,0.8,73.15,0.002701510560438037,73.41
