method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.1,0.0,0.0,73.25,0.004377981529831886,73.32
SGD,128,0.15,0.0,0.0,73.37,0.003688703982681036,73.49
SGD,128,0.2,0.0,0.0,73.23,0.003032219677269459,73.42
SGD,128,0.25,0.0,0.0,72.58,0.0028111147451400755,72.7
SGD,128,0.3,0.0,0.0,72.35,0.0029851525208353996,72.57
SGD,128,0.35,0.0,0.0,72.6,0.00238089697599411,72.8
SGD,128,0.4,0.0,0.0,71.94,0.0028529294036328794,71.98
SGD,128,0.5,0.0,0.0,71.04,0.00258014794357121,71.32
SGD+WD,128,0.05,0.001,0.0,74.61,0.014405820957422256,74.81
SGD+WD,128,0.1,0.001,0.0,76.04,0.012969987007379532,76.24
SGD+WD,128,0.15,0.001,0.0,76.68,0.014581304698586465,76.91
SGD+WD,128,0.2,0.001,0.0,77.42,0.015042958711385727,77.47
SGD+WD,128,0.25,0.001,0.0,77.43,0.015537377064228058,77.78
SGD+WD,128,0.3,0.001,0.0,77.35,0.01597431889414787,77.51
SGD+WD,128,0.4,0.001,0.0,77.64,0.017158541408777237,77.73
SGD+WD,128,0.5,0.001,0.0,77.19,0.017631396001577378,77.24
SGD+WD,128,0.05,0.002,0.0,75.35,0.02168046321988106,75.49
SGD+WD,128,0.1,0.002,0.0,76.62,0.025110695769786834,76.77
SGD+WD,128,0.15,0.002,0.0,77.5,0.026549770430326462,77.62
SGD+WD,128,0.2,0.002,0.0,77.7,0.027934442269802094,77.95
SGD+WD,128,0.25,0.002,0.0,78.41,0.029021441786289216,78.53
SGD+WD,128,0.3,0.002,0.0,78.47,0.03025887607574463,78.95
SGD+WD,128,0.4,0.002,0.0,78.33,0.03317975731372833,78.63
SGD+WD,128,0.5,0.002,0.0,77.76,0.035651228234767914,77.9
SGD+WD,128,0.05,0.005,0.0,77.07,0.053419961266517636,77.12
SGD+WD,128,0.1,0.005,0.0,77.56,0.057903034369945525,77.8
SGD+WD,128,0.15,0.005,0.0,77.44,0.06375434594392776,77.62
SGD+WD,128,0.2,0.005,0.0,77.98,0.06921517521381378,78.18
SGD+WD,128,0.25,0.005,0.0,78.13,0.07609122271537781,78.29
SGD+WD,128,0.3,0.005,0.0,77.44,0.08666892389297486,77.53
SGD+WD,128,0.4,0.005,0.0,76.79,0.11107700086593628,76.95
SGD+WD,128,0.5,0.005,0.0,76.07,0.1332441849374771,76.18
SGD+WD,128,0.05,0.01,0.0,77.84,0.10851867942333221,78.08
SGD+WD,128,0.1,0.01,0.0,77.34,0.12943063942432403,77.54
SGD+WD,128,0.15,0.01,0.0,77.47,0.1493377177143097,77.62
SGD+WD,128,0.2,0.01,0.0,77.27,0.1724947704219818,77.27
SGD+WD,128,0.25,0.01,0.0,76.49,0.19837192637920378,76.8
SGD+WD,128,0.3,0.01,0.0,75.87,0.23165143655776976,76.13
SGD+WD,128,0.4,0.01,0.0,74.11,0.3528391766548157,74.14
SGD+WD,128,0.5,0.01,0.0,72.57,0.5331329219818115,72.76
SGDM+WD,128,0.03,0.0005,0.9,76.32,0.00926603070139885,76.58
SGDM+WD,128,0.05,0.0005,0.9,77.0,0.009636759583950043,77.0
SGDM+WD,128,0.07,0.0005,0.9,77.05,0.010353151797652244,77.18
SGDM+WD,128,0.1,0.0005,0.9,77.22,0.011134478466510772,77.38
SGDM+WD,128,0.12,0.0005,0.9,76.41,0.011972819848060609,76.7
SGDM+WD,128,0.15,0.0005,0.9,76.19,0.01290518654704094,76.21
SGDM+WD,128,0.2,0.0005,0.9,76.32,0.0150744290214777,76.44
