method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGDM+WD,128,0.07,0.0015,0.85,78.06,0.023868739503622054,78.25
SGDM+WD,128,0.1,0.0015,0.9,76.24,0.03717466302752495,76.24
SGDM+WD,128,0.03,0.0015,0.9,78.05,0.022254821019172668,78.3
SGD+WD,128,0.15,0.005,0.0,77.44,0.06375434594392776,77.62
SGD+WD,128,0.25,0.005,0.0,78.13,0.07609122271537781,78.29
SGDM+WD,128,0.03,0.0015,0.85,78.1,0.02112903244972229,78.11
SGDM+WD,128,0.05,0.0015,0.9,78.45,0.024461522867679594,78.6
SGDM+WD,128,0.05,0.0015,0.8,77.95,0.02155797228693962,78.16
SGDM+WD,128,0.1,0.001,0.8,78.32,0.01672784362375736,78.42
SGDM+WD,128,0.1,0.001,0.9,77.52,0.02096688148021698,77.59
SGD+WD,128,0.05,0.005,0.0,77.07,0.053419961266517636,77.12
SGD+WD,128,0.1,0.01,0.0,77.34,0.12943063942432403,77.54
SGD+WD,128,0.25,0.01,0.0,76.49,0.19837192637920378,76.8
SGD+WD,128,0.15,0.01,0.0,77.47,0.1493377177143097,77.62
SGDM+WD,128,0.05,0.0015,0.85,77.94,0.022767387975454332,78.12
SGDM+WD,128,0.05,0.001,0.8,77.59,0.015327256745696068,77.66
SGDM+WD,128,0.05,0.001,0.9,77.81,0.016438498530983926,77.96
SGDM+WD,128,0.05,0.001,0.85,77.67,0.015671890705823897,77.82
SGDM+WD,128,0.1,0.0015,0.8,78.55,0.024333633548021316,78.61
SGDM+WD,128,0.07,0.0015,0.9,77.95,0.02853600839495659,78.04
SGDM+WD,128,0.07,0.001,0.9,77.65,0.018123960343003273,77.84
SGDM+WD,128,0.03,0.001,0.9,77.54,0.015660572918653488,77.68
SGD+WD,128,0.2,0.005,0.0,77.98,0.06921517521381378,78.18
SGDM+WD,128,0.1,0.0015,0.85,77.76,0.02745694972753525,77.92
SGD+WD,128,0.2,0.01,0.0,77.27,0.1724947704219818,77.27
SGDM+WD,128,0.07,0.001,0.85,77.9,0.016583524729013442,77.94
SGD+WD,128,0.05,0.01,0.0,77.84,0.10851867942333221,78.08
SGDM+WD,128,0.1,0.001,0.85,77.76,0.017806577566862106,77.81
SGDM+WD,128,0.03,0.0015,0.8,77.42,0.02010765068411827,77.66
SGDM+WD,128,0.07,0.001,0.8,77.62,0.015916244127750397,77.68
SGDM+WD,128,0.03,0.001,0.85,77.38,0.014797232322692871,77.45
SGD+WD,128,0.1,0.005,0.0,77.56,0.057903034369945525,77.8
SGDM+WD,128,0.03,0.001,0.8,76.95,0.014181317431926728,77.0
SGDM+WD,128,0.07,0.0015,0.8,78.03,0.022817778537273407,78.15
