hidden_dim,momentum,lr,rule,lambda_rule,lambda_oracle,ratio,loss,acc,oracle_loss,oracle_acc,gap_loss,gap_acc,diverged,n_grid,C_pred,sum_lr
1024,0.9,0.03,default,0.0005,0.01,0.05,1.3733320693969726,58.76,1.2118650749206543,59.77,0.1614669944763183,1.0100000000000051,0,9,2.5491962559218444,181.815
1024,0.9,0.03,wang,0.00284172,0.01,0.284172,1.280620111465454,59.33,1.2118650749206543,59.77,0.06875503654479975,0.44000000000000483,0,9,2.5491962559218444,181.815
1024,0.9,0.03,kosson,0.0132243,0.01,1.32243,1.2500661504745485,56.04,1.2118650749206543,59.77,0.03820107555389418,3.730000000000004,0,9,2.5491962559218444,181.815
1024,0.9,0.03,ours,0.0140208,0.01,1.40208,1.25838489112854,55.98,1.2118650749206543,59.77,0.0465198162078857,3.7900000000000063,0,9,2.5491962559218444,181.815
1024,0.9,0.1,default,0.0005,0.00420625,0.11887072808320952,1.4631837976455688,56.04,1.2375613470077516,57.23,0.22562245063781727,1.1899999999999977,0,9,2.5491962559218444,606.0500000000001
1024,0.9,0.1,wang,0.000852515,0.00420625,0.2026781575037147,1.391719776916504,57.21,1.2375613470077516,57.23,0.1541584299087524,0.01999999999999602,0,9,2.5491962559218444,606.0500000000001
1024,0.9,0.1,kosson,0.0039673,0.00420625,0.9431916790490342,1.2505533002853393,56.5,1.2375613470077516,57.23,0.012991953277587731,0.7299999999999969,0,9,2.5491962559218444,606.0500000000001
1024,0.9,0.1,ours,0.00420625,0.00420625,1.0,1.2375613470077516,57.01,1.2375613470077516,57.23,0.0,0.21999999999999886,0,9,2.5491962559218444,606.0500000000001
1024,0.9,0.3,default,0.0005,0.00132243,0.37809184607124763,1.3944588565826417,55.03,1.3086022956848145,55.34,0.08585656089782723,0.3100000000000023,0,7,2.5491962559218444,1818.1499999999999
1024,0.9,0.3,wang,0.000284172,0.00132243,0.21488623216351715,1.323196239089966,54.23,1.3086022956848145,55.34,0.014593943405151633,1.1100000000000065,0,7,2.5491962559218444,1818.1499999999999
1024,0.9,0.3,kosson,0.00132243,0.00132243,1.0,1.3086022956848145,55.34,1.3086022956848145,55.34,0.0,0.0,0,7,2.5491962559218444,1818.1499999999999
1024,0.9,0.3,ours,0.00140208,0.00132243,1.0602300310791497,,,1.3086022956848145,55.34,,,1,7,2.5491962559218444,1818.1499999999999
