hidden_dim,momentum,lr,wd_argmin,wd_interp,metric_min,acc_max,sum_lr,C,interior,n_points
128,0.0,0.05,0.0001,0.0001,0.0715929508447647,97.83,246.22500000000002,0.024622500000000002,False,5
128,0.0,0.1,0.0003,0.0004737997879017874,0.0621064682006835,98.14,492.45000000000005,0.23332270555223522,True,5
128,0.0,0.2,0.001,0.0008512871605559414,0.0545315160155296,98.29,984.9000000000001,0.8384327244315468,True,5
256,0.0,0.05,0.0001,0.0001,0.0652915561199188,97.97,246.22500000000002,0.024622500000000002,False,5
256,0.0,0.1,0.0003,0.00045502382676971094,0.0548019283294677,98.28,492.45000000000005,0.22407648349274417,True,5
256,0.0,0.2,0.001,0.0006331934953948618,0.050755886554718,98.33,984.9000000000001,0.6236322736143994,True,5
512,0.0,0.05,0.0001,0.0001,0.06344977581501,97.96,246.22500000000002,0.024622500000000002,False,5
512,0.0,0.1,0.001,0.0005849234139715546,0.0555136646747589,98.26,492.45000000000005,0.2880455352102921,True,5
512,0.0,0.2,0.001,0.0006837573762760938,0.0512029269218444,98.43,984.9000000000001,0.6734326398943249,True,5
128,0.9,0.05,0.001,0.0008565934276229687,0.0510707575559616,98.48,246.22500000000002,0.2109147167164655,True,5
128,0.9,0.1,0.001,0.0008968233564717879,0.0471023187875747,98.57,492.45000000000005,0.441640661894532,True,5
128,0.9,0.2,0.001,0.0011018071900178272,0.0529051140546798,98.41,984.9000000000001,1.085169901448558,True,5
256,0.9,0.05,0.001,0.0007779179333404805,0.0460717440247535,98.56,246.22500000000002,0.19154284313675982,True,5
256,0.9,0.1,0.001,0.0006366166109904147,0.0462344382166862,98.64,492.45000000000005,0.31350185008222975,True,5
256,0.9,0.2,0.001,0.0007425398000135677,0.0454003814578056,98.67,984.9000000000001,0.7313274490333629,True,5
512,0.9,0.05,0.001,0.0005957278634492075,0.0471799545764923,98.56,246.22500000000002,0.14668309317778114,True,5
512,0.9,0.1,0.001,0.0006474587138689342,0.0440049628734588,98.65,492.45000000000005,0.3188410436447567,True,5
512,0.9,0.2,0.001,0.0007106190019934224,0.0468945545554161,98.64,984.9000000000001,0.6998886550633218,True,5
