config,strategy,wd,acc,oracle,gap,oracle_runs
T=25,zero,0.0,67.53,74.74,7.209999999999994,22
T=25,default,0.0005,73.1,74.74,1.6400000000000006,22
T=25,kosson,0.0005981673526285664,73.22,74.74,1.519999999999996,22
T=25,wang,0.0010230179028132991,74.41,74.74,0.3299999999999983,22
T=200,zero,0.0,70.02,78.93,8.91000000000001,18
T=200,default,0.0005,78.55,78.93,0.38000000000000966,18
T=200,kosson,0.0005981673526285664,78.63,78.93,0.30000000000001137,18
T=200,wang,0.0001278772378516624,75.68,78.93,3.25,18
B=32,zero,0.0,73.56,78.17,4.609999999999999,12
B=32,default,0.0005,77.8,78.17,0.37000000000000455,12
B=32,wang,0.00025591810620601403,77.01,78.17,1.1599999999999966,12
B=512,zero,0.0,64.56,75.42,10.86,12
B=512,default,0.0005,75.24,75.42,0.18000000000000682,12
B=512,wang,0.0002551020408163265,74.56,75.42,0.8599999999999994,12
VGG-16,zero,0.0,65.95,73.43,7.480000000000004,10
VGG-16,default,0.0005,73.08,73.43,0.3500000000000085,10
VGG-16,wang,0.0002557544757033248,72.05,73.43,1.3800000000000097,10
ResNet-50,zero,0.0,63.9,78.2,14.300000000000004,10
ResNet-50,default,0.0005,77.57,78.2,0.6300000000000097,10
ResNet-50,wang,0.0002557544757033248,76.19,78.2,2.010000000000005,10
