model,seed,batch_size,lr,wd_argmax,acc_max,n_points,wd_interp,interior,sum_lr,C
resnet18,42,32,0.005,0.001,77.8,6,0.0011665290395761162,True,394.6575,0.4603794344365111
resnet18,42,32,0.01,0.001,78.4,6,0.0009285392664671523,True,789.315,0.7329099711115203
resnet18,42,32,0.02,0.001,78.49,6,0.00073514337993424,True,1578.63,1.1605193938655896
resnet18,42,32,0.025,0.001,78.17,8,0.0008725312382407297,True,1973.2875000000001,1.7217549857799541
resnet18,42,32,0.05,0.001,77.38,6,0.0007104278378198092,True,3946.5750000000003,2.8037567440437137
resnet18,42,32,0.1,0.0005,76.66,5,0.0003464543026350698,True,7893.150000000001,2.734615778844001
resnet18,42,32,0.2,0.0001,76.15,5,9.702277502107747e-05,True,15786.300000000001,1.5316306333152354
resnet18,42,32,0.3,0.0001,76.45,5,7.107739372722118e-05,True,23679.449999999997,1.6830735908940473
resnet18,42,64,0.05,0.001,78.69,20,0.0013189668305059526,True,1974.5500000000002,2.604365955175529
resnet18,42,128,0.001,0.01,73.42,12,0.008546305421801658,True,19.7455,0.16875107370618464
resnet18,42,128,0.002,0.01,76.14,8,0.007712224289247318,True,39.491,0.30456344940666585
resnet18,42,128,0.005,0.005,77.56,22,0.007503424034356391,True,98.7275,0.7407942963519206
resnet18,42,128,0.01,0.005,77.68,50,0.005000000000000002,True,197.455,0.9872750000000005
resnet18,42,128,0.02,0.002,78.2,30,0.002000000000000001,True,394.91,0.7898200000000004
resnet18,42,128,0.03,0.002,78.45,9,0.0017840080056875068,True,592.365,1.05678390228908
resnet18,42,128,0.05,0.0015,78.6,49,0.001500000000000001,True,987.2750000000001,1.480912500000001
resnet18,42,128,0.07,0.0015,78.04,9,0.001554636010180479,True,1382.185,2.1487945737313052
resnet18,42,128,0.1,0.001,77.59,55,0.0010000000000000002,True,1974.5500000000002,1.9745500000000007
resnet18,42,128,0.2,0.0005,76.46,36,0.0007568163127179746,True,3949.1000000000004,2.9887433005545536
resnet18,42,128,0.3,0.0002,76.1,34,0.00023346629489651326,True,5923.65,1.3829726177637307
resnet18,42,128,0.5,0.0001,76.3,17,0.0001414213562373095,True,9872.75,1.3962176947918974
resnet18,42,256,0.2,0.0005,77.33,20,0.0005000000000000001,True,1979.6000000000001,0.9898000000000003
resnet18,42,512,0.4,0.001,75.94,19,0.0010524637123490825,True,1979.6000000000001,2.083457164966244
resnet18,123,64,0.05,0.001,77.93,12,0.0014142135623730957,True,1974.5500000000002,2.792435389583796
resnet18,123,128,0.005,0.01,77.65,11,0.012228180814575015,True,98.7275,1.2072577213709548
resnet18,123,128,0.01,0.005,77.65,25,0.007273838332515041,True,197.455,1.4362557479467575
resnet18,123,128,0.02,0.002,78.12,8,0.00216652759964384,True,394.91,0.8555834143753489
resnet18,123,128,0.05,0.002,78.44,24,0.0023909364055728615,True,987.2750000000001,2.360511739811947
resnet18,123,128,0.1,0.001,77.34,35,0.0014142135623730957,True,1974.5500000000002,2.792435389583796
resnet18,123,128,0.2,0.0005,76.27,18,0.0005000000000000001,True,3949.1000000000004,1.9745500000000007
