lr,factor,loss,acc,wd,wd_target
0.05,0.1,0.0541875411868095,98.59,0.000129916,0.000129916
0.05,0.3333333333333333,0.0474682594060897,98.53,0.000433053,0.000433053
0.05,1.0,0.0475405110478401,98.55,0.00129916,0.00129916
0.05,3.0,0.0656501965284347,98.15,0.00389748,0.00389748
0.05,10.0,0.1303970573425293,96.84,0.0129916,0.0129916
0.1,0.1,0.0646199719190597,98.61,6.49579e-05,6.49579e-05
0.1,0.3333333333333333,0.0473859472990036,98.67,0.000216526,0.000216526
0.1,1.0,0.0442478890419006,98.67,0.000649579,0.000649579
0.1,3.0,0.0506024096727371,98.53,0.00194874,0.00194874
0.1,10.0,0.0862947348117828,97.76,0.00649579,0.00649579
