arm,beta,eta_star,eta_argmax,acc,n,one_minus_beta
$\lambda=0$,0.0,0.3015942346025628,0.3,73.61,20,1.0
$\lambda=0$,0.1,0.251749401400171,0.25,73.59,8,0.9
$\lambda=0$,0.2,0.19815257201524647,0.2,73.66,8,0.8
$\lambda=0$,0.3,0.12808866897642782,0.1,73.53,8,0.7
$\lambda=0$,0.4,0.10961753762889623,0.1,73.6,8,0.6
$\lambda=0$,0.5,0.05,0.05,73.45,7,0.5
$\lambda=0$,0.6,0.05,0.05,73.48,7,0.4
$\lambda=0$,0.7,0.05,0.05,73.62,7,0.30000000000000004
$\lambda=0$,0.8,0.05,0.05,73.41,7,0.19999999999999996
$\lambda=2\times10^{-3}$,0.0,0.30371856474988945,0.3,78.95,12,1.0
$\lambda=2\times10^{-3}$,0.5,0.1,0.1,77.57,6,0.5
$\lambda=2\times10^{-3}$,0.7,0.07487272630075485,0.07,78.72,6,0.30000000000000004
$\lambda=2\times10^{-3}$,0.8,0.1,0.1,78.48,6,0.19999999999999996
$\lambda=2\times10^{-3}$,0.9,0.04166182669864136,0.05,78.56,14,0.09999999999999998
$\lambda=2\times10^{-3}$,0.95,0.01811447328527807,0.02,78.36,6,0.050000000000000044
$\lambda=2\times10^{-3}$,0.99,0.01,0.01,73.68,6,0.010000000000000009
