wd,lr,epoch,step,param_distance,relative_distance,test_loss_gap,acc_a,acc_b,subset,momentum
0.0,0.05,1,79,0.2775810081995978,0.0034593193921487256,0.055123411560058955,2.43,2.5,10000,0.0
0.0,0.05,2,158,1.1026687859244557,0.013733570766349398,0.14553586273193364,5.87,5.14,10000,0.0
0.0,0.05,3,237,1.6523840869693698,0.020563177635786318,0.9649761909484864,3.58,4.07,10000,0.0
0.0,0.05,4,316,2.2259421411357043,0.027671292308494567,0.6989903266906747,3.74,4.15,10000,0.0
0.0,0.05,5,395,2.898826808758429,0.035989017535802366,0.9426760482788081,4.91,4.51,10000,0.0
0.0,0.05,6,474,3.6993364576758707,0.045853147055857316,0.867389951324463,5.72,7.24,10000,0.0
0.0,0.05,7,553,4.649694618358658,0.05751849717773843,1.4861976806640618,6.84,4.8,10000,0.0
0.0,0.05,8,632,5.633230041785979,0.06953451244719129,3.6243933685302743,2.74,2.15,10000,0.0
0.0,0.05,9,711,6.578446071600393,0.08102803370398756,1.1336351402282725,4.94,5.02,10000,0.0
0.0,0.05,10,790,7.171629557179526,0.08819191504571837,2.724786984252929,6.21,9.32,10000,0.0
0.0,0.05,11,869,7.32623254392631,0.09002797095448076,0.0636362972259521,21.24,20.89,10000,0.0
0.0,0.05,12,948,7.42539950833054,0.09121281995256368,0.18484091491699228,14.83,14.26,10000,0.0
0.0,0.05,13,1027,7.499183250940093,0.09209047528985512,0.06223645896911645,27.2,26.96,10000,0.0
0.0,0.05,14,1106,7.512401694708498,0.09224032428389964,0.018323306274414364,29.7,29.61,10000,0.0
0.0,0.05,15,1185,7.522519427221713,0.09235484277856998,0.01708915748596196,29.51,29.59,10000,0.0
0.0,0.05,16,1264,7.568337732096291,0.09290584430722082,0.8756288669586176,18.65,24.64,10000,0.0
0.0,0.05,17,1343,7.586116629888591,0.0931111089841893,0.0683526283264162,29.68,28.35,10000,0.0
0.0,0.05,18,1422,7.5979365343825975,0.09324852580903384,0.3271229873657231,25.9,29.06,10000,0.0
0.0,0.05,19,1501,7.6035653623576955,0.09331089221348704,0.026441453170776175,30.0,29.31,10000,0.0
0.0,0.05,20,1580,7.627835189972505,0.09360176927294231,0.13185148200988772,25.92,27.09,10000,0.0
0.0,0.05,21,1659,7.644523985149846,0.09379859895264911,0.21689116516113272,26.1,27.46,10000,0.0
0.0,0.05,22,1738,7.651418971286346,0.09387683458780627,0.21691948318481424,26.96,28.78,10000,0.0
0.0,0.05,23,1817,7.664399269073299,0.0940301559447423,0.09672299995422362,27.47,26.66,10000,0.0
0.0,0.05,24,1896,7.6695315031150955,0.09408810838099915,0.032332418060302626,30.09,29.28,10000,0.0
0.0,0.05,25,1975,7.68912268708535,0.09432239120600602,0.33184829788208026,22.66,26.06,10000,0.0
0.0,0.05,26,2054,7.702896985852316,0.09448476453915688,0.10373453521728493,24.9,26.03,10000,0.0
0.0,0.05,27,2133,7.718590922483774,0.09467192957078989,0.30289204101562506,27.02,24.58,10000,0.0
0.0,0.05,28,2212,7.729598191552113,0.09480198704837278,0.08284802856445328,26.54,25.47,10000,0.0
0.0,0.05,29,2291,7.735478939693259,0.09486960546236768,0.022138527679443243,28.37,28.58,10000,0.0
0.0,0.05,30,2370,7.738459358922575,0.09490275295578388,0.020227304077148567,30.03,29.49,10000,0.0
0.0,0.05,31,2449,7.742444689696138,0.09494853217767013,0.03256894226074225,29.7,29.18,10000,0.0
0.0,0.05,32,2528,7.755018921368139,0.09509901780730497,0.050025403594970985,26.61,26.72,10000,0.0
0.0,0.05,33,2607,7.758443651076417,0.09513753996385621,0.028357241439819436,29.6,29.23,10000,0.0
0.0,0.05,34,2686,7.762111519621348,0.0951797312975531,0.04264537048339845,29.62,29.22,10000,0.0
0.0,0.05,35,2765,7.764434679085394,0.09520570017296576,0.016005053710937744,29.65,29.58,10000,0.0
0.0,0.05,36,2844,7.773215947402563,0.09531037580021813,0.04884758911132803,28.09,28.14,10000,0.0
0.0,0.05,37,2923,7.775458270305411,0.09533520057975452,0.015419325637817671,29.61,29.18,10000,0.0
0.0,0.05,38,3002,7.778078828726002,0.0953649369779831,0.00797236747741703,29.59,29.59,10000,0.0
0.0,0.05,39,3081,7.780681678129913,0.09539467276438911,0.013838112258911295,29.91,29.69,10000,0.0
0.0,0.05,40,3160,7.783005367282326,0.09542108131378726,0.003690304946899481,29.68,29.49,10000,0.0
0.001,0.05,1,79,0.2728039695783441,0.003413266185517982,0.17118204956054672,2.49,2.7,10000,0.0
0.001,0.05,2,158,1.0738421720339666,0.013481013623517705,0.029661590576171903,5.6,5.96,10000,0.0
0.001,0.05,3,237,1.6142330610980975,0.020328630654653058,0.14857803344726506,4.82,5.37,10000,0.0
0.001,0.05,4,316,2.180473945012148,0.027538598745035288,1.0331698226928712,3.63,4.17,10000,0.0
0.001,0.05,5,395,2.8243443313767806,0.035764420203120005,3.2262109191894517,3.61,2.63,10000,0.0
0.001,0.05,6,474,3.597218695578353,0.04565645971685282,0.5485284049987795,5.6,6.31,10000,0.0
0.001,0.05,7,553,4.5211412714071555,0.05749331080267926,1.9763894882202155,7.85,6.33,10000,0.0
0.001,0.05,8,632,5.529589991072173,0.07043191115779063,1.7464012466430656,6.49,4.54,10000,0.0
0.001,0.05,9,711,6.527983443621002,0.08327969033190752,0.5029077560424806,2.28,2.71,10000,0.0
0.001,0.05,10,790,7.075115355014264,0.09044416357363971,0.3797329879760749,11.19,13.17,10000,0.0
0.001,0.05,11,869,7.273911239225439,0.09326239148679857,1.5133300369262699,19.41,14.4,10000,0.0
0.001,0.05,12,948,7.401948348954724,0.09522578361742227,0.010739334106444787,8.29,8.64,10000,0.0
0.001,0.05,13,1027,7.4789565933904365,0.0965488270680507,0.024231147766113015,25.59,25.65,10000,0.0
0.001,0.05,14,1106,7.464928845930772,0.09672986740299794,0.002807297515869056,29.35,28.85,10000,0.0
0.001,0.05,15,1185,7.448496119129978,0.09688467129534806,0.00032864685058608956,30.27,29.47,10000,0.0
0.001,0.05,16,1264,7.452002677583795,0.0973006821061637,0.06688556747436536,23.78,23.75,10000,0.0
0.001,0.05,17,1343,7.432693541259077,0.09741991943956135,0.026601541900634906,29.97,29.59,10000,0.0
0.001,0.05,18,1422,7.414522082262333,0.09755620773773625,0.03360547752380372,29.4,28.69,10000,0.0
0.001,0.05,19,1501,7.398175262631926,0.09771689515934517,0.07599254684448242,29.96,28.39,10000,0.0
0.001,0.05,20,1580,7.405784022928637,0.09819342845463441,0.32148015480041536,24.87,22.44,10000,0.0
0.001,0.05,21,1659,7.394146339833593,0.09841500163574107,0.12275638999938954,26.58,27.72,10000,0.0
0.001,0.05,22,1738,7.375637644944194,0.0985472516523121,0.07507596015930185,29.26,28.06,10000,0.0
0.001,0.05,23,1817,7.369972969326214,0.09885233075623484,1.8735531288146974,28.06,16.33,10000,0.0
0.001,0.05,24,1896,7.363431499382789,0.09914695697781238,0.305380866241455,29.19,25.68,10000,0.0
0.001,0.05,25,1975,7.352123745326906,0.09937760565912956,0.21742799339294416,28.65,26.48,10000,0.0
0.001,0.05,26,2054,7.3389280566945825,0.09958293943995648,0.7424882534027093,22.23,19.09,10000,0.0
0.001,0.05,27,2133,7.32060095491525,0.09971872395639782,0.1747454261779784,28.79,27.16,10000,0.0
0.001,0.05,28,2212,7.302268812816654,0.0998540760564578,0.0032649574279783877,28.2,28.17,10000,0.0
0.001,0.05,29,2291,7.2802366867118655,0.09993893119235472,0.030719283676147402,29.36,28.44,10000,0.0
0.001,0.05,30,2370,7.258913373992405,0.10003303176767163,0.03898623809814428,30.09,29.26,10000,0.0
0.001,0.05,31,2449,7.237452343166982,0.10012479509625233,0.016073780441284047,29.36,29.1,10000,0.0
0.001,0.05,32,2528,7.221310329059211,0.10028931086226583,0.11238887939453157,29.37,27.72,10000,0.0
0.001,0.05,33,2607,7.199723066649868,0.10037783844084869,0.062004268264770346,29.66,28.78,10000,0.0
0.001,0.05,34,2686,7.1785196931913635,0.10047121749275935,0.03215967521667462,29.9,29.11,10000,0.0
0.001,0.05,35,2765,7.156554672791903,0.10055326317258649,0.03904944152832046,30.14,29.54,10000,0.0
0.001,0.05,36,2844,7.145328267218153,0.10078450372615089,0.3886861331939695,23.45,25.31,10000,0.0
0.001,0.05,37,2923,7.124710665694141,0.10088268005468928,0.032869261169433894,29.47,29.41,10000,0.0
0.001,0.05,38,3002,7.1034072599949445,0.10097185553494724,0.042282767486572226,29.79,29.3,10000,0.0
0.001,0.05,39,3081,7.081903968220017,0.10105753745198744,0.01097009353637679,29.53,29.37,10000,0.0
0.001,0.05,40,3160,7.060535656085618,0.10114430963536317,0.03073916778564456,29.07,29.05,10000,0.0
0.01,0.05,1,79,0.2587246865095896,0.0033541820390040108,0.1757794982910159,2.54,2.56,10000,0.0
0.01,0.05,2,158,0.979337821771125,0.013199181911218055,0.17616522293090853,5.81,5.61,10000,0.0
0.01,0.05,3,237,1.41429638139232,0.01980996195918645,0.138370207214356,6.16,6.26,10000,0.0
0.01,0.05,4,316,1.864173331133873,0.027126652646931676,0.27060638046264707,4.02,2.85,10000,0.0
0.01,0.05,5,395,2.3201162066052747,0.035061990010992625,0.48504331436157155,4.52,4.68,10000,0.0
0.01,0.05,6,474,2.8615563455920356,0.04488658805423755,0.13366469116210933,4.48,5.0,10000,0.0
0.01,0.05,7,553,3.51439948294444,0.057184706921191555,1.0544828613281245,5.59,7.22,10000,0.0
0.01,0.05,8,632,4.3182696609698095,0.07282958421053815,1.975846524047851,3.88,3.63,10000,0.0
0.01,0.05,9,711,5.267462093727096,0.09200157775306642,2.4742519287109364,2.92,2.3,10000,0.0
0.01,0.05,10,790,6.076998437030078,0.109860091056377,3.3473258560180668,1.87,2.44,10000,0.0
0.01,0.05,11,869,6.759633753704458,0.1264748429043844,0.1889935440063475,7.89,8.59,10000,0.0
0.01,0.05,12,948,7.232227548275247,0.1401064939011085,2.096786833953857,6.13,5.1,10000,0.0
0.01,0.05,13,1027,7.436298905596056,0.149188320254708,0.32709457015991195,10.46,10.33,10000,0.0
0.01,0.05,14,1106,7.341988807350128,0.1528345394365806,0.6974392860412597,22.33,15.77,10000,0.0
0.01,0.05,15,1185,7.139402633235039,0.1543608039671444,0.05739662971496573,21.77,22.53,10000,0.0
0.01,0.05,16,1264,6.97653736870562,0.15665988687306376,0.3411749298095703,13.13,11.52,10000,0.0
0.01,0.05,17,1343,6.841151381195081,0.15946617864895235,0.48422402801513664,21.67,18.99,10000,0.0
0.01,0.05,18,1422,6.634763078987033,0.16062715895261345,0.778778065490723,15.75,14.27,10000,0.0
0.01,0.05,19,1501,6.44895851360249,0.16209714025749888,0.09423516998291026,20.81,18.14,10000,0.0
0.01,0.05,20,1580,6.3285359760163615,0.1651038132896186,0.20737879333496068,11.45,10.49,10000,0.0
0.01,0.05,21,1659,8.54132066844702,0.22741371194497317,1.9976523651123044,2.25,5.34,10000,0.0
0.01,0.05,22,1738,9.091769524172792,0.24847251846519366,1.7181561233520508,6.19,4.94,10000,0.0
0.01,0.05,23,1817,9.090591378562511,0.2564319430604933,0.5421574203491213,10.73,8.13,10000,0.0
0.01,0.05,24,1896,8.864084509641687,0.2590391914096622,0.7680555107116698,14.14,10.09,10000,0.0
0.01,0.05,25,1975,8.572955053665334,0.25982507209499023,0.27773934020996105,21.49,18.55,10000,0.0
0.01,0.05,26,2054,8.274516312576306,0.2601122313973314,0.9117389648437499,24.55,16.22,10000,0.0
0.01,0.05,27,2133,7.99219020708411,0.2605214893371253,0.08225041847228987,21.06,19.24,10000,0.0
0.01,0.05,28,2212,7.722995206541345,0.2608968796990956,0.009713675308227643,22.09,21.98,10000,0.0
0.01,0.05,29,2291,7.45862887277122,0.2610685091152594,0.1917144004821778,23.73,20.65,10000,0.0
0.01,0.05,30,2370,7.20608973293711,0.2612176049046206,0.06255725708007809,26.96,25.29,10000,0.0
0.01,0.05,31,2449,6.979610661861045,0.2618975392735984,0.11871558914184588,19.43,17.54,10000,0.0
0.01,0.05,32,2528,6.780052886715576,0.26308315286046685,0.36349388847351083,17.12,23.14,10000,0.0
0.01,0.05,33,2607,8.164633627993949,0.315873799292169,7.597278776168823,2.17,18.77,10000,0.0
0.01,0.05,34,2686,8.808342829014874,0.34229931840354244,3.17731611251831,4.47,16.53,10000,0.0
0.01,0.05,35,2765,9.560122624865611,0.37882346681254647,1.6514213806152345,9.94,5.63,10000,0.0
0.01,0.05,36,2844,9.954542817495039,0.4058578105310515,7.6944745300292965,10.41,3.12,10000,0.0
0.01,0.05,37,2923,9.994491608319803,0.4206069831018924,3.798734728240967,24.51,4.58,10000,0.0
0.01,0.05,38,3002,9.731031262772117,0.423209101224956,0.6964094287872316,29.09,19.54,10000,0.0
0.01,0.05,39,3081,9.392849365184766,0.4220965105931509,0.0497176219940183,18.14,20.93,10000,0.0
0.01,0.05,40,3160,9.048082163727056,0.4196821905490547,0.12366001968383777,28.1,29.13,10000,0.0
