method,dataset,num_layers,hidden_dim,use_bn,norm_output,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,512,0,0,128,0.01,0.0001,0.9,40,42,0.016956279838383197,99.986,2.341702416229248,56.45,1.3173497201919555,56.97,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.01,0.0005,0.9,40,42,0.03205032037675381,99.928,2.0311825733184814,57.42,1.312928497505188,57.42,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.01,0.002,0.9,40,42,0.11398743141651153,99.052,1.6243572410583496,57.57,1.3100405128479005,57.76,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.01,0.01,0.9,40,42,0.7270496574783325,78.342,1.2090623874664306,57.38,1.2090623874664306,57.51,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.01,0.05,0.9,40,42,1.51271595954895,47.542,1.5301050037384034,46.57,1.5301050037384034,46.93,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.03,0.0001,0.9,40,42,0.006883101372420788,99.998,2.8719015628814697,56.52,1.403835437965393,56.68,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.03,0.0005,0.9,40,42,0.02299308762848377,99.986,2.051688571929932,57.44,1.3706932792663573,57.49,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.03,0.002,0.9,40,42,0.13318132261753082,98.788,1.4625415214538575,59.16,1.3230814874649048,59.27,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.03,0.01,0.9,40,42,0.8832625082588196,71.588,1.2113138963699341,57.46,1.2113138963699341,57.61,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.03,0.05,0.9,40,42,1.525362597541809,46.916,1.539479479789734,46.41,1.539479479789734,46.41,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.1,0.0001,0.9,40,42,0.454286275100708,84.104,2.167131666183472,51.81,1.7481731197357178,52.01,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.1,0.0005,0.9,40,42,0.2672331999397278,92.592,1.7457683017730712,55.38,1.498960289955139,55.44,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.1,0.002,0.9,40,42,0.5643858361244202,81.99,1.3218902519226075,56.81,1.3154722902297973,56.81,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.1,0.01,0.9,40,42,1.0626668548965454,64.302,1.2765027513504028,55.05,1.2765027513504028,55.05,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.1,0.05,0.9,40,42,1.5518067908477784,45.976,1.5609417526245117,45.6,1.5609417526245117,45.6,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.3,0.0001,0.9,40,42,2.3026062451171874,9.964,2.3025880352020263,10.0,2.3025880352020263,10.0,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.3,0.0005,0.9,40,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,0,0,128,0.3,0.002,0.9,40,42,0.9087596793746948,68.92,1.3073628950119018,54.85,1.3073628950119018,54.85,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.3,0.01,0.9,40,42,2.3026059342193603,9.908,2.302587938308716,10.0,2.2098466815948488,15.67,0,40
SGDM+WD,cifar10,3,512,0,0,128,0.3,0.05,0.9,40,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,1,0,128,0.01,0.0001,0.9,40,42,0.024764969222545622,99.914,1.9819541202545166,56.72,1.3089153076171876,56.77,0,40
SGDM+WD,cifar10,3,512,1,0,128,0.01,0.0005,0.9,40,42,0.03283242621421814,99.882,1.8244532661437989,56.81,1.3049266706466676,57.05,0,40
SGDM+WD,cifar10,3,512,1,0,128,0.01,0.002,0.9,40,42,0.06227106029033661,99.604,1.7012842025756836,56.02,1.278241538619995,56.07,0,40
SGDM+WD,cifar10,3,512,1,0,128,0.01,0.01,0.9,40,42,0.3668224594306946,92.784,1.2929516220092774,56.79,1.2818712522506714,56.99,0,40
