tag,optimizer,wd_sched,peak_acc,peak_lambda0,n,delta_vs_fixed
const,SGD,fixed,73.2,0.0001,5,0.0
const,SGD,cosine,73.5,0.0005,5,0.29999999999999716
const,SGD,linear,73.22,0.0005,5,0.01999999999999602
const,SGD,step,74.24,0.001,5,1.039999999999992
const,SGD,cosine_restarts,73.43,0.0001,5,0.23000000000000398
const,SGDM,fixed,66.67,0.0001,5,0.0
const,SGDM,cosine,71.34,0.0005,5,4.670000000000002
const,SGDM,linear,70.32,0.0001,5,3.6499999999999915
const,SGDM,step,73.1,0.0005,5,6.429999999999993
const,SGDM,cosine_restarts,70.13,0.0001,5,3.4599999999999937
