arm,budget_factor,shape,lambda0,contraction,contraction_over_C,best_test_acc,final_test_acc,train_acc,diverged,exp
matched,0.3333333333333333,fixed,0.0001994,0.3937252699999999,0.33333333333333337,74.62,74.52,99.976,0,e5b
matched,0.3333333333333333,cosine,0.000265,0.3937369999999998,0.33334326411577964,74.34,74.18,99.97,0,e9_matched
matched,0.3333333333333333,linear,0.0002826,0.3937320015089563,0.3333390323231869,74.43,74.16,99.966,0,e9_matched
matched,0.3333333333333333,step,0.0002399,0.3937663217371964,0.3333680883095604,74.16,73.85,99.958,0,e9_matched
matched,0.3333333333333333,iso_product,0.0001158,0.3936280933719999,0.3332510622377206,75.86,75.86,99.968,0,e9_matched
matched,1.0,fixed,0.0005982,1.1811758099999996,1.0,76.72,76.67,99.962,0,e8_e4_baseline
matched,1.0,cosine,0.000795,1.1812110000000007,1.00002979234734,75.5,75.24,99.96,0,e9_matched
matched,1.0,linear,0.0008478,1.1811960045268686,1.0000170969695603,76.44,76.37,99.96,0,e9_matched
matched,1.0,step,0.0007196,1.181134827520161,0.999965303658023,75.85,75.79,99.942,0,e9_matched
matched,1.0,iso_product,0.0003475,1.1812242007493114,1.0000409682867717,78.22,78.21,99.892,0,e9_matched
matched,3.0,fixed,0.001795,3.5443172499999984,3.0006686726847205,76.19,76.19,99.628,0,e5b
matched,3.0,cosine,0.002385,3.5436329999999994,3.0000893770420176,75.03,74.83,99.832,0,e9_matched
matched,3.0,linear,0.002543,3.543030714215413,2.9995794734531636,75.53,75.47,99.84,0,e9_matched
matched,3.0,step,0.002159,3.5437327579433417,3.0001738335153876,73.97,73.78,99.856,0,e9_matched
matched,3.0,iso_product,0.001042,3.541972999081381,2.9986839969922703,77.5,77.5,95.538,0,e9_matched
iso_grid,,iso_product,0.0001,0.33992063330915456,0.28778157360770423,75.56,75.37,99.976,0,e9_iso
iso_grid,,iso_product,0.0005,1.6996031665457711,1.4389078680385199,77.98,77.98,99.526,0,e9_iso
iso_grid,,iso_product,0.001,3.3992063330915423,2.8778157360770398,77.98,77.98,96.056,0,e9_iso
iso_grid,,iso_product,0.002,6.798412666183085,5.7556314721540796,70.36,70.36,79.456,0,e9_iso
iso_grid,,iso_product,0.005,16.996031665457714,14.3890786803852,22.13,20.95,21.148,0,e9_iso
joint,,cosine,0.0001,0.14857999999999993,0.12578991098708667,73.6,73.36,99.968,0,e8_joint
joint,,cosine,0.0005,0.7429000000000001,0.6289495549354337,76.01,76.01,99.952,0,e8_joint
joint,,cosine,0.001,1.4858000000000002,1.2578991098708674,76.42,76.15,99.954,0,e8_joint
joint,,cosine,0.002,2.9716000000000005,2.515798219741735,75.19,75.01,99.9,0,e8_joint
joint,,cosine,0.005,7.428999999999997,6.289495549354333,71.12,70.88,94.702,0,e8_joint
joint,,linear,0.0001,0.13229485000000005,0.11200267469073896,73.73,73.44,99.968,0,e8_joint
joint,,linear,0.0005,0.66147425,0.5600133734536946,75.57,75.49,99.968,0,e8_joint
joint,,linear,0.001,1.3229485,1.1200267469073892,76.17,76.01,99.966,0,e8_joint
joint,,linear,0.002,2.645897,2.2400534938147785,75.35,75.35,99.9,0,e8_joint
joint,,linear,0.005,6.614742499999998,5.600133734536945,72.52,72.52,95.29,0,e8_joint
joint,,step,0.0001,0.1964872749999999,0.1663488816283835,73.75,73.48,99.926,0,e8_joint
joint,,step,0.0005,0.9824363750000004,0.8317444081419181,75.36,74.99,99.804,0,e8_joint
joint,,step,0.001,1.9648727500000007,1.6634888162838362,74.9,74.72,99.702,0,e8_joint
joint,,step,0.002,3.9297455000000014,3.3269776325676723,72.67,72.36,99.026,0,e8_joint
joint,,step,0.005,9.824363750000037,8.31744408141921,65.16,64.9,78.838,0,e8_joint
