method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc,final_test_loss
SGDM,128,0.005,0.0002,0.9,73.49,0.00823531514659524,73.49,1.2735204467773438
SGDM,128,0.01,0.0002,0.9,73.79,0.006557821209281683,73.94,1.196975412750244
SGDM,128,0.02,0.0002,0.9,74.57,0.005896837065294385,74.74,1.1106980315208435
SGDM,128,0.05,0.0002,0.9,75.31,0.005807239530235529,75.52,1.0306074920654298
SGDM,128,0.1,0.0002,0.9,75.65,0.0062414163449406625,75.65,1.022468144416809
SGDM,128,0.2,0.0002,0.9,75.92,0.0067538314507901666,76.06,1.009988666343689
SGDM,128,0.3,0.0002,0.9,75.65,0.006903284106105566,75.91,1.0314883995056152
SGDM,128,0.5,0.0002,0.9,75.26,0.0098357815143466,75.26,1.0934913612365722
SGDM,128,0.005,0.0002,0.9,73.04,0.008186130466759204,73.25,1.2828136751174928
SGDM,128,0.01,0.0002,0.9,73.76,0.006430337765216828,73.79,1.2137665344238282
SGDM,128,0.02,0.0002,0.9,73.69,0.005939896359443664,74.04,1.1297195091247558
SGDM,128,0.05,0.0002,0.9,74.75,0.0058969576741755006,74.87,1.0653838009834289
SGDM,128,0.1,0.0002,0.9,75.33,0.006068785202652216,75.62,1.0202004590988158
SGDM,128,0.2,0.0002,0.9,74.92,0.0075028077079355715,74.95,1.0504930381774902
SGDM,128,0.3,0.0002,0.9,75.54,0.008017355280071498,75.61,1.0438529490470887
SGDM,128,0.5,0.0002,0.9,75.27,0.010663306651115418,75.27,1.0805224922180177
SGDM,128,1.0,0.0001,0.9,74.26,0.0148931849193573,74.3,1.2461448495864869
SGDM,128,2.0,0.0001,0.9,67.52,0.31652913095474244,67.52,1.5182221569061278
SGDM,128,3.0,0.0001,0.9,47.7,1.578595401535034,47.7,2.0448058010101318
SGDM,128,5.0,0.0001,0.9,1.0,3.1492070585632326,1.0,nan
SGDM,128,1.0,0.0001,0.9,75.32,0.013804537912011146,75.38,1.2738163248062133
SGDM,128,2.0,0.0001,0.9,64.38,0.5549879343986511,64.56,1.5276233173370362
SGDM,128,3.0,0.0001,0.9,1.0,nan,1.0,nan
SGDM,128,5.0,0.0001,0.9,1.0,nan,1.0,nan
SGDM,128,0.75,0.0002,0.9,74.6,0.02068861634552479,74.8,1.1372477792739868
SGDM,128,1.0,0.0002,0.9,72.41,0.1517183849811554,72.41,1.1949063152313233
SGDM,128,1.5,0.0002,0.9,58.66,0.9763661253356933,58.72,1.6405161361694336
SGDM,128,2.5,0.0002,0.9,21.93,2.960718998413086,21.93,3.0057920349121092
SGDM,128,0.75,0.0002,0.9,75.04,0.020812047989368438,75.22,1.1192692749023438
SGDM,128,1.0,0.0002,0.9,72.44,0.1189670612192154,72.51,1.2327910211563111
SGDM,128,1.5,0.0002,0.9,60.87,0.8754513403320312,61.12,1.529725165939331
SGDM,128,2.5,0.0002,0.9,28.59,2.751131983795166,28.59,2.7777788925170896
SGDM,128,0.75,0.0002,0.9,75.3,0.020552119777798653,75.31,1.1221689264297485
SGDM,128,1.0,0.0002,0.9,72.09,0.12377872064828872,72.09,1.2566157922744752
SGDM,128,1.5,0.0002,0.9,65.33,0.5500608535766601,65.33,1.4053445266723632
SGDM,128,2.5,0.0002,0.9,26.2,2.833912579879761,26.27,2.8458903102874755
SGDM,128,0.75,0.0002,0.9,75.42,0.01936411574304104,75.5,1.1135331873893737
SGDM,128,1.0,0.0002,0.9,72.75,0.11418127933502198,72.91,1.211720913887024
SGDM,128,1.5,0.0002,0.9,62.33,0.7665910114669799,62.49,1.469278002166748
SGDM,128,2.5,0.0002,0.9,1.0,nan,1.0,nan
SGDM,128,0.0002,0.05,0.9,63.99,1.2512826904296874,64.25,1.6792531728744506
SGDM,128,0.0005,0.05,0.9,68.61,1.0301834400177001,68.89,1.5347501705169677
SGDM,128,0.001,0.05,0.9,66.56,1.1113245190429688,66.87,1.5497452894210815
SGDM,128,0.002,0.05,0.9,65.92,1.2337842345428467,66.15,1.581442643547058
SGDM,128,0.0002,0.05,0.9,64.09,1.266690009727478,64.11,1.6856049907684325
SGDM,128,0.0005,0.05,0.9,69.12,1.0315968579483032,69.34,1.5406538372039795
SGDM,128,0.001,0.05,0.9,67.09,1.0997071349334717,67.28,1.5339444789886474
SGDM,128,0.002,0.05,0.9,66.3,1.225500400352478,66.36,1.5860434038162232
