method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc,final_test_loss
SGDM,128,0.005,0.0001,0.9,73.06,0.007176425780653954,73.08,1.3353158950805664
SGDM,128,0.005,0.0002,0.9,73.3,0.008191843583881855,73.39,1.2589733444213866
SGDM,128,0.005,0.0005,0.9,73.28,0.010676351888477802,73.3,1.140200386238098
SGDM,128,0.005,0.001,0.9,74.54,0.01427950472354889,74.84,1.004400549697876
SGDM,128,0.005,0.002,0.9,75.43,0.021771957957744597,75.57,0.9746744741439819
SGDM,128,0.005,0.005,0.9,76.4,0.0526334312081337,76.52,0.9469984401702881
SGDM,128,0.005,0.01,0.9,77.65,0.1072366190290451,77.65,0.9080521242141724
SGDM,128,0.005,0.02,0.9,77.18,0.2777875375366211,77.35,0.9493689331054688
SGDM,128,0.005,0.05,0.9,56.91,1.7584777416610717,56.91,1.9563881595611572
SGDM,128,0.01,0.0001,0.9,73.83,0.005389598693847656,73.95,1.2929004449844361
SGDM,128,0.01,0.0002,0.9,74.19,0.006305203895419836,74.4,1.1760293354034423
SGDM,128,0.01,0.0005,0.9,74.86,0.009512209634482861,74.91,1.0172735052108766
SGDM,128,0.01,0.001,0.9,75.78,0.012905988109111786,75.97,0.954830738067627
SGDM,128,0.01,0.002,0.9,76.36,0.024661353258490563,76.53,0.9439561929702759
SGDM,128,0.01,0.005,0.9,77.56,0.056442856627702716,77.65,0.8901818612098694
SGDM,128,0.01,0.01,0.9,76.85,0.12816714226722717,76.85,0.9135649099349975
SGDM,128,0.01,0.02,0.9,75.7,0.4149150338554382,75.73,0.9993309968948364
SGDM,128,0.01,0.05,0.9,16.63,3.2767647117614747,16.79,3.2338088439941406
SGDM,128,0.02,0.0001,0.9,73.58,0.004435109536796808,73.8,1.284226696395874
SGDM,128,0.02,0.0002,0.9,74.26,0.005867471959590912,74.37,1.1131199436187744
SGDM,128,0.02,0.0005,0.9,75.6,0.008769450778961182,75.74,0.9784187282562256
SGDM,128,0.02,0.001,0.9,76.96,0.014741583091914654,77.16,0.9261552518844605
SGDM,128,0.02,0.002,0.9,78.12,0.026976945829987525,78.12,0.886641650390625
SGDM,128,0.02,0.005,0.9,77.52,0.07031178094387054,77.52,0.8765754619598388
SGDM,128,0.02,0.01,0.9,76.5,0.21951450612068177,76.54,0.9034805864334107
SGDM,128,0.02,0.02,0.9,70.14,0.8987742096328736,70.14,1.1982023487091065
SGDM,128,0.02,0.05,0.9,3.61,4.374088105773926,5.14,4.355654931640625
SGDM,128,0.05,0.0001,0.9,73.54,0.004275142114013433,73.73,1.2445696752548219
SGDM,128,0.05,0.0002,0.9,75.02,0.005811583623737097,75.11,1.0325682397842406
SGDM,128,0.05,0.0005,0.9,77.01,0.00992753016024828,77.04,0.9075289980888367
SGDM,128,0.05,0.001,0.9,77.47,0.016617040331959723,77.69,0.8886082867622376
SGDM,128,0.05,0.002,0.9,78.35,0.03314315648555756,78.44,0.8575837399482727
SGDM,128,0.05,0.005,0.9,75.69,0.22724308561325074,75.87,0.900619533920288
SGDM,128,0.05,0.01,0.9,69.43,0.874986576423645,69.55,1.1395253046035767
SGDM,128,0.05,0.02,0.9,42.52,2.3962799476623533,42.52,2.3355444023132326
SGDM,128,0.05,0.05,0.9,1.0,4.60546875,2.4,4.605170457458496
SGDM,128,0.1,0.0001,0.9,73.75,0.004413104531615973,73.94,1.1658140977859497
SGDM,128,0.1,0.0002,0.9,75.04,0.006340323698222637,75.21,1.0305287006378174
SGDM,128,0.1,0.0005,0.9,76.88,0.010961584322154522,76.98,0.9242677375793457
SGDM,128,0.1,0.001,0.9,76.66,0.021824580527544022,76.76,0.9099230934143067
SGDM,128,0.1,0.002,0.9,75.69,0.06441813178181648,75.93,0.939445384311676
SGDM,128,0.1,0.005,0.9,68.43,0.8179045390510559,68.43,1.1165537014961242
SGDM,128,0.1,0.01,0.9,34.78,2.617948053436279,34.78,2.5538947212219236
SGDM,128,0.1,0.02,0.9,1.0,4.60546875,3.61,4.605170390319824
SGDM,128,0.1,0.05,0.9,1.0,4.60546875,2.02,4.605170359039307
SGDM,128,0.2,0.0001,0.9,73.79,0.005083520362079144,74.07,1.1572739225387574
SGDM,128,0.2,0.0002,0.9,75.17,0.007032734584212303,75.32,1.0500820816993712
SGDM,128,0.2,0.0005,0.9,76.08,0.014798902993798256,76.09,0.9594868257522583
SGDM,128,0.2,0.001,0.9,75.18,0.04411924029827118,75.2,0.9600842507362366
SGDM,128,0.2,0.002,0.9,71.89,0.31133310878276826,71.94,1.0369311685562135
SGDM,128,0.2,0.005,0.9,42.63,2.1927296615600587,42.63,2.1920210960388182
SGDM,128,0.2,0.01,0.9,1.0,4.60546875,4.28,4.605170483398438
SGDM,128,0.2,0.02,0.9,1.0,4.60546875,2.19,4.605170227813721
SGDM,128,0.2,0.05,0.9,1.0,4.60546875,1.0,4.605170320129394
SGDM,128,0.3,0.0001,0.9,74.06,0.00516583600461483,74.08,1.1532227672576905
SGDM,128,0.3,0.0002,0.9,75.19,0.007943818995803594,75.31,1.060238351726532
SGDM,128,0.3,0.0005,0.9,74.93,0.022622153083086013,75.06,1.0020992453575135
SGDM,128,0.3,0.001,0.9,73.84,0.10373238945484162,73.89,1.0147397733688355
SGDM,128,0.3,0.002,0.9,60.27,1.0301003563690185,60.27,1.4358101272583008
SGDM,128,0.3,0.005,0.9,1.0,4.605431796875,6.2,4.605170559692382
SGDM,128,0.3,0.01,0.9,1.0,4.60546875,1.75,4.605170574951172
SGDM,128,0.3,0.02,0.9,1.0,4.60546875,1.6,4.605170279693604
SGDM,128,0.3,0.05,0.9,1.0,4.60546875,1.0,4.605170399475098
SGDM,128,0.5,0.0001,0.9,74.28,0.005975198078453541,74.38,1.1589773612976073
SGDM,128,0.5,0.0002,0.9,75.95,0.00956407440841198,75.95,1.0518289898872375
SGDM,128,0.5,0.0005,0.9,74.03,0.07751919135212898,74.05,1.041792579650879
SGDM,128,0.5,0.001,0.9,66.35,0.7745551574516296,66.35,1.190715545463562
SGDM,128,0.5,0.002,0.9,44.09,2.1383079812622072,44.09,2.110490641975403
SGDM,128,0.5,0.005,0.9,1.0,4.605351797180176,2.17,4.605170879364014
SGDM,128,0.5,0.01,0.9,1.0,4.605354297180176,1.54,4.60517098236084
SGDM,128,0.5,0.02,0.9,1.0,4.60546875,1.7,4.605170530700684
SGDM,128,0.5,0.05,0.9,1.0,4.60546875,1.0,4.605170651245118
