method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc,final_test_loss
SGDM,128,0.005,0.02,0.9,77.09,0.2810603546142578,77.15,0.9606424806594849
SGDM,128,0.005,0.05,0.9,54.39,1.794821396560669,54.39,1.9859478881835937
SGDM,128,0.01,0.02,0.9,75.7,0.42099849391937255,75.89,0.9812974397659302
SGDM,128,0.01,0.05,0.9,17.1,3.303691328277588,17.21,3.260501490020752
SGDM,128,0.02,0.02,0.9,69.63,0.9129027880096435,69.63,1.2027827711105348
SGDM,128,0.02,0.05,0.9,3.64,4.358279511566162,5.51,4.339624382019043
SGDM,128,0.05,0.02,0.9,44.73,2.2972600788879394,44.73,2.2297581245422364
SGDM,128,0.05,0.05,0.9,1.0,4.60546875,2.98,4.605170365142822
SGDM,128,0.1,0.02,0.9,1.0,4.60546875,3.94,4.605170108032227
SGDM,128,0.1,0.05,0.9,1.0,4.60546875,2.6,4.6051702941894535
SGDM,128,0.2,0.02,0.9,1.0,4.60546875,1.93,4.605170274353028
SGDM,128,0.2,0.05,0.9,1.0,4.60546875,1.0,4.605170520019532
SGDM,128,0.3,0.02,0.9,1.0,4.60546875,1.0,4.605170387268067
SGDM,128,0.3,0.05,0.9,1.0,4.60546875,1.0,4.605170286560059
SGDM,128,0.5,0.02,0.9,1.0,4.60546875,1.0,4.60517056274414
SGDM,128,0.5,0.05,0.9,1.0,4.60546875,1.0,4.605170236206055
