method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc,final_test_loss
SGDM+WD,128,0.002,0.005,0.9,74.49,0.04837483667612076,74.71,0.9987556146621704
SGDM+WD,128,2.5,0.0001,0.9,63.48,0.6349495963859558,63.67,1.537372699356079
SGDM+WD,128,1.5,0.0005,0.9,22.54,3.1392327423095705,22.54,3.1179684291839598
SGDM+WD,128,1.0,0.001,0.9,25.43,2.982611788482666,25.59,2.948232413482666
SGDM+WD,128,0.75,0.0005,0.9,68.31,0.5619971568679809,68.4,1.1510465698242187
SGDM+WD,128,0.75,0.0001,0.9,75.93,0.006868982985019684,75.93,1.1532036951065063
SGDM+WD,128,1.5,0.0001,0.9,69.88,0.13085184424877166,70.17,1.5497528701782226
SGDM+WD,128,0.75,0.001,0.9,38.46,2.3861949696350098,38.46,2.370156453704834
SGDM+WD,128,0.001,0.01,0.9,73.23,0.095926416015625,73.42,1.0594152471542357
SGDM+WD,128,0.002,0.01,0.9,75.84,0.09930480102539062,76.14,0.9860519213676453
SGDM+WD,128,0.002,0.0001,0.9,70.13,0.017564627348184585,70.48,1.4160588348388672
SGDM+WD,128,0.0005,0.0005,0.9,64.48,0.3161449103927612,64.68,1.383408293914795
SGDM+WD,128,0.001,0.001,0.9,68.76,0.0592999395775795,68.76,1.3170210322380065
SGDM+WD,128,0.002,0.0005,0.9,70.9,0.019525209057331086,71.01,1.3037235401153564
SGDM+WD,128,0.0002,0.0005,0.9,56.49,1.2114437253189088,56.62,1.5889423397064208
SGDM+WD,128,0.001,0.0001,0.9,67.33,0.061945391535758974,67.68,1.3915335124969483
SGDM+WD,128,0.0002,0.001,0.9,56.71,1.2093289487075807,56.8,1.590848444366455
SGDM+WD,128,0.0005,0.001,0.9,64.72,0.308144768075943,64.79,1.3611367782592774
SGDM+WD,128,0.002,0.001,0.9,71.14,0.02137715121626854,71.35,1.2152161602020264
SGDM+WD,128,0.0002,0.002,0.9,56.74,1.198258304710388,56.92,1.5872588798522949
SGDM+WD,128,0.0005,0.002,0.9,64.94,0.29536671827316285,65.26,1.3228481761932374
SGDM+WD,128,0.001,0.002,0.9,69.38,0.05980651805639267,69.42,1.2356411821365356
SGDM+WD,128,0.002,0.002,0.9,72.53,0.025825587577819824,72.85,1.0823739282608031
SGDM+WD,128,0.0002,0.005,0.9,57.17,1.1699251782989502,57.24,1.5579386066436767
SGDM+WD,128,0.0005,0.005,0.9,66.41,0.24208657210350037,66.64,1.2698671340942382
SGDM+WD,128,0.001,0.005,0.9,71.04,0.061227162928581234,71.11,1.1050455196380615
SGDM+WD,128,0.0002,0.01,0.9,58.33,1.1245815536117554,58.49,1.500894549369812
SGDM+WD,128,0.0005,0.01,0.9,68.56,0.20796587153434754,68.85,1.1699526048660278
SGDM+WD,128,2e-05,0.05,0.9,16.84,3.5426308311462402,17.08,3.5101109554290773
SGDM+WD,128,0.0001,0.05,0.9,46.87,2.0390637158966065,46.88,2.0976410312652587
SGDM+WD,128,10.0,0.0001,0.9,1.0,nan,1.0,nan
SGDM+WD,128,0.0001,0.01,0.9,44.94,1.9562585640716552,45.1,2.0551135875701902
SGDM+WD,128,2.5,0.0001,0.9,1.0,nan,1.0,nan
