method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.001,0,0,44.38,1.9687893474960327,44.42
SGD,128,0.005,0,0,64.26,0.3238800088310242,64.31
SGD,128,0.01,0,0,67.92,0.0629682689666748,68.11
SGD,128,0.05,0,0,72.32,0.006825876895785332,72.41
SGD,128,0.1,0,0,73.19,0.004187701032310725,73.33
SGD,128,0.5,0,0,70.76,0.0025636569453030824,71.03
SGD,128,1.0,0,0,70.47,0.002599870054572821,70.47
SGD,128,2.0,0,0,68.66,0.002692348029650748,68.66
SGD+WD,128,0.001,0.0005,0,44.45,1.97414811252594,44.5
SGD+WD,128,0.005,0.0005,0,64.27,0.3277037945365906,64.31
SGD+WD,128,0.01,0.0005,0,68.48,0.06385783160209656,68.51
SGD+WD,128,0.05,0.0005,0,73.84,0.010857113773226738,73.95
SGD+WD,128,0.1,0.0005,0,75.14,0.009560721396803857,75.14
SGD+WD,128,0.5,0.0005,0,76.54,0.010174982731938361,76.7
SGD+WD,128,1.0,0.0005,0,75.43,0.012406606133580208,75.66
SGD+WD,128,2.0,0.0005,0,76.22,0.015104178100824357,76.33
SGDM+WD,128,0.001,0.0005,0.9,68.35,0.059177412576675414,68.46
SGDM+WD,128,0.005,0.0005,0.9,73.28,0.01061171736240387,73.61
SGDM+WD,128,0.01,0.0005,0.9,75.04,0.009581880261600017,75.11
SGDM+WD,128,0.05,0.0005,0.9,76.68,0.00985599688410759,76.83
SGDM+WD,128,0.1,0.0005,0.9,77.49,0.011169042640924453,77.49
SGDM+WD,128,0.5,0.0005,0.9,74.82,0.06904710130214692,74.89
SGDM+WD,128,1.0,0.0005,0.9,54.82,1.3932511417007447,54.82
SGDM+WD,128,2.0,0.0005,0.9,1.0,4.60497453125,4.24
SGDM,128,0.01,0.0001,0.9,73.49,0.005151836435794831,73.61
SGDM,128,0.01,0.0002,0.9,73.66,0.006344263503700495,73.91
SGDM,128,0.01,0.0005,0.9,75.04,0.009581880261600017,75.11
SGDM,128,0.01,0.001,0.9,75.9,0.012877571495175362,75.96
SGDM,128,0.01,0.002,0.9,77.09,0.024636030552387236,77.29
SGDM,128,0.01,0.005,0.9,77.61,0.05644550660610199,77.68
SGDM,128,0.01,0.01,0.9,77.35,0.1290866572523117,77.47
SGDM,128,0.05,0.0001,0.9,73.82,0.0038575256133079527,73.95
SGDM,128,0.05,0.0002,0.9,75.35,0.00566586231470108,75.48
SGDM,128,0.05,0.0005,0.9,76.68,0.00985599688410759,76.83
SGDM,128,0.05,0.001,0.9,78.26,0.01679346710026264,78.36
SGDM,128,0.05,0.002,0.9,78.38,0.03431124219894409,78.56
SGDM,128,0.05,0.005,0.9,75.52,0.22581409081459045,75.6
SGDM,128,0.05,0.01,0.9,68.89,0.904516796798706,68.89
SGDM,128,0.1,0.0001,0.9,74.4,0.004113886335045099,74.42
SGDM,128,0.1,0.0002,0.9,75.18,0.0064451601698994635,75.21
SGDM,128,0.1,0.0005,0.9,77.49,0.011169042640924453,77.49
SGDM,128,0.1,0.001,0.9,77.34,0.020872731704711912,77.56
SGDM,128,0.1,0.002,0.9,76.41,0.06300754674434662,76.41
SGDM,128,0.1,0.005,0.9,68.51,0.8074712986755371,68.51
SGDM,128,0.1,0.01,0.9,41.32,2.340668486480713,41.32
SGDM,128,0.2,0.0001,0.9,73.91,0.005021071076691151,73.99
