method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.001,0,0,37.7,2.199113986587524,37.76
SGD,128,0.005,0,0,57.84,0.14864641570091247,58.39
SGD,128,0.01,0,0,64.5,0.02210923686146736,64.5
SGD,128,0.05,0,0,72.07,0.0033823063231259586,72.28
SGD,128,0.1,0,0,73.27,0.0026666731619462373,73.47
SGD,128,0.5,0,0,68.69,0.003195750739723444,69.1
SGD,128,1.0,0,0,66.79,0.008001168416142464,67.06
SGD,128,2.0,0,0,1.0,nan,1.0
SGD+WD,128,0.001,0.0005,0,38.23,2.2009926303100587,38.23
SGD+WD,128,0.005,0.0005,0,59.23,0.14553544484615327,59.43
SGD+WD,128,0.01,0.0005,0,64.46,0.02147301382780075,64.6
SGD+WD,128,0.05,0.0005,0,73.99,0.004741868104785681,74.07
SGD+WD,128,0.1,0.0005,0,75.93,0.005059397618770599,76.19
SGD+WD,128,0.5,0.0005,0,76.77,0.007349236993789673,76.82
SGD+WD,128,1.0,0.0005,0,78.17,0.007728120627552271,78.17
SGD+WD,128,2.0,0.0005,0,1.0,nan,1.0
SGDM+WD,128,0.001,0.0005,0.9,64.12,0.021564938066005707,64.65
SGDM+WD,128,0.005,0.0005,0.9,73.74,0.005414637031704188,73.85
SGDM+WD,128,0.01,0.0005,0.9,76.19,0.005094714446365833,76.47
SGDM+WD,128,0.05,0.0005,0.9,76.49,0.00788628237992525,76.57
SGDM+WD,128,0.1,0.0005,0.9,76.88,0.009417404239177704,77.05
SGDM+WD,128,0.5,0.0005,0.9,66.46,0.3510253520488739,66.46
SGDM+WD,128,1.0,0.0005,0.9,1.0,nan,1.0
SGDM+WD,128,2.0,0.0005,0.9,1.0,nan,1.0
SGDM,128,0.01,0.0001,0.9,73.99,0.0025102372193336487,74.07
SGDM,128,0.01,0.0002,0.9,74.52,0.0032362575241923334,74.58
SGDM,128,0.01,0.0005,0.9,76.19,0.005094714446365833,76.47
SGDM,128,0.01,0.001,0.9,77.76,0.008028491788059472,77.89
SGDM,128,0.01,0.002,0.9,78.97,0.018849088443517684,78.97
SGDM,128,0.01,0.005,0.9,79.13,0.0529838278222084,79.3
SGDM,128,0.01,0.01,0.9,78.9,0.13111328734874725,78.91
SGDM,128,0.05,0.0001,0.9,70.71,0.003964891736656428,70.92
SGDM,128,0.05,0.0002,0.9,73.95,0.003743960037305951,73.98
SGDM,128,0.05,0.0005,0.9,76.49,0.00788628237992525,76.57
SGDM,128,0.05,0.001,0.9,77.72,0.015279679441452027,77.86
SGDM,128,0.05,0.002,0.9,78.02,0.043880608854293825,78.02
SGDM,128,0.05,0.005,0.9,65.14,0.5802447570896149,65.14
SGDM,128,0.05,0.01,0.9,56.18,1.473418373184204,56.18
SGDM,128,0.1,0.0001,0.9,72.82,0.0028285922527313233,72.87
SGDM,128,0.1,0.0002,0.9,73.25,0.004741487824767828,73.41
SGDM,128,0.1,0.0005,0.9,76.88,0.009417404239177704,77.05
SGDM,128,0.1,0.001,0.9,76.92,0.027497480613589288,77.11
SGDM,128,0.1,0.002,0.9,69.63,0.24937930877685546,69.74
SGDM,128,0.1,0.005,0.9,54.75,1.4819542266082764,54.81
SGDM,128,0.1,0.01,0.9,29.45,2.8964537413787843,29.45
SGDM,128,0.2,0.0001,0.9,75.0,0.003675256228595972,75.15
SGDM,128,0.2,0.0002,0.9,76.96,0.00472894153110683,76.99
SGDM,128,0.2,0.0005,0.9,77.38,0.019300760799646377,77.39
SGDM,128,0.2,0.001,0.9,69.64,0.17886307967662812,69.65
SGDM,128,0.2,0.002,0.9,58.81,1.1654106987762451,58.81
SGDM,128,0.2,0.005,0.9,27.13,3.0061970740509034,27.13
SGDM,128,0.2,0.01,0.9,1.0,4.60546875,2.43
SGDM,128,0.3,0.0001,0.9,75.8,0.0035165059281140566,76.05
SGDM,128,0.3,0.0002,0.9,78.19,0.0052018377615511415,78.34
SGDM,128,0.3,0.0005,0.9,75.97,0.028136217245459557,76.14
SGDM,128,0.3,0.001,0.9,63.37,0.6378271980667114,63.37
SGDM,128,0.3,0.002,0.9,38.32,2.3958766960144042,38.32
SGDM,128,0.3,0.005,0.9,1.0,nan,4.5
SGDM,128,0.3,0.01,0.9,1.0,4.6054296878051755,1.0
SGDM,64,0.05,0.0001,0.9,73.53,0.00426316935300827,73.58
SGDM,64,0.05,0.0002,0.9,75.9,0.005244419271945954,75.96
SGDM,64,0.05,0.0005,0.9,77.3,0.012240790719985961,77.48
SGDM,64,0.05,0.001,0.9,76.69,0.034740410628318785,76.8
SGDM,64,0.05,0.002,0.9,74.58,0.143707197098732,74.7
SGDM,64,0.05,0.005,0.9,57.05,1.4065817449951172,57.05
SGDM,128,0.1,0.0001,0.9,72.82,0.0028285922527313233,72.87
SGDM,128,0.1,0.0002,0.9,73.25,0.004741487824767828,73.41
SGDM,128,0.1,0.0005,0.9,76.88,0.009417404239177704,77.05
SGDM,128,0.1,0.001,0.9,76.92,0.027497480613589288,77.11
SGDM,128,0.1,0.002,0.9,69.63,0.24937930877685546,69.74
SGDM,128,0.1,0.005,0.9,54.75,1.4819542266082764,54.81
SGDM,256,0.2,0.0001,0.9,70.07,0.004654000465571881,70.07
SGDM,256,0.2,0.0002,0.9,74.14,0.004317555258274078,74.28
SGDM,256,0.2,0.0005,0.9,77.31,0.009862548325061797,77.31
SGDM,256,0.2,0.001,0.9,76.27,0.026294654515981675,76.27
SGDM,256,0.2,0.002,0.9,66.28,0.387701025686264,66.32
SGDM,256,0.2,0.005,0.9,43.15,2.1110574641418456,43.15
SGDM,512,0.4,0.0001,0.9,70.21,0.004218913245797157,70.36
SGDM,512,0.4,0.0002,0.9,74.48,0.003135203065648675,74.68
SGDM,512,0.4,0.0005,0.9,76.53,0.009232576803714037,76.69
SGDM,512,0.4,0.001,0.9,74.9,0.030954273638129234,74.97
SGDM,512,0.4,0.002,0.9,64.89,0.4498696859645844,65.09
SGDM,512,0.4,0.005,0.9,33.56,2.6212245550537108,33.56
