method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.001,0.0,0.0,54.95,0.942084454612732,55.35
SGD,128,0.005,0.0,0.0,62.27,0.0253427297592163,62.67
SGD,128,0.01,0.0,0.0,65.13,0.0094155059480667,65.36
SGD,128,0.05,0.0,0.0,68.81,0.003159709932655,68.88
SGD,128,0.1,0.0,0.0,68.37,0.0033940148901939,68.67
SGD,128,0.5,0.0,0.0,66.08,0.0309260569965839,66.1
SGD,128,1.0,0.0,0.0,65.91,0.0329626286447048,66.01
SGD,128,2.0,0.0,0.0,62.94,0.0607329567408561,63.23
SGD+WD,128,0.001,0.0005,0.0,54.93,0.9646015412521364,55.08
SGD+WD,128,0.005,0.0005,0.0,62.49,0.025251353187561,62.67
SGD+WD,128,0.01,0.0005,0.0,65.82,0.0099849252513051,65.97
SGD+WD,128,0.05,0.0005,0.0,70.09,0.0056058972567319,70.18
SGD+WD,128,0.1,0.0005,0.0,70.66,0.0060164661337435,70.83
SGD+WD,128,0.5,0.0005,0.0,72.01,0.0131977090167999,72.3
SGD+WD,128,1.0,0.0005,0.0,73.03,0.0159740406250953,73.21
SGD+WD,128,2.0,0.0005,0.0,72.94,0.0406938546359539,72.94
SGDM+WD,128,0.001,0.0005,0.9,65.19,0.0097377270787954,65.38
SGDM+WD,128,0.005,0.0005,0.9,70.27,0.0053025376702845,70.5
SGDM+WD,128,0.01,0.0005,0.9,70.96,0.0056701039528846,71.05
SGDM+WD,128,0.05,0.0005,0.9,72.61,0.0118902211272716,72.78
SGDM+WD,128,0.1,0.0005,0.9,72.9,0.018123637958765,73.08
SGDM+WD,128,0.5,0.0005,0.9,66.02,0.53147746799469,66.08
SGDM+WD,128,1.0,0.0005,0.9,1.0,4.605275469055176,1.0
SGDM+WD,128,2.0,0.0005,0.9,1.0,4.6052567185974125,1.0
SGDM,128,0.01,0.0001,0.9,69.96,0.0040067351580411,70.06
SGDM,128,0.01,0.0002,0.9,70.26,0.0045381414699554,70.33
SGDM,128,0.01,0.0005,0.9,70.96,0.0056701039528846,71.05
SGDM,128,0.01,0.001,0.9,72.04,0.0073397904255986,72.1
SGDM,128,0.01,0.002,0.9,73.21,0.0135439686024189,73.38
SGDM,128,0.01,0.005,0.9,74.58,0.036396707650423,74.69
SGDM,128,0.01,0.01,0.9,74.93,0.0874669063544273,75.03
SGDM,128,0.05,0.0001,0.9,68.65,0.0150996300858259,68.83
SGDM,128,0.05,0.0002,0.9,69.8,0.0113151518847048,70.11
SGDM,128,0.05,0.0005,0.9,72.61,0.0118902211272716,72.78
SGDM,128,0.05,0.001,0.9,73.73,0.0174987117433547,73.73
SGDM,128,0.05,0.002,0.9,73.13,0.0381470911669731,73.16
SGDM,128,0.05,0.005,0.9,72.76,0.1470620125865936,72.76
SGDM,128,0.05,0.01,0.9,67.81,0.5870110435676574,67.81
SGDM,128,0.1,0.0001,0.9,69.79,0.0121209778094291,69.87
SGDM,128,0.1,0.0002,0.9,71.86,0.0127392666894197,71.86
SGDM,128,0.1,0.0005,0.9,72.9,0.018123637958765,73.08
SGDM,128,0.1,0.001,0.9,72.71,0.03391852386415,72.95
SGDM,128,0.1,0.002,0.9,72.28,0.0971611705756187,72.34
SGDM,128,0.1,0.005,0.9,66.57,0.5177098526763916,66.67
SGDM,128,0.1,0.01,0.9,1.0,4.60546875,3.4
SGDM,128,0.2,0.0001,0.9,70.18,0.019538912974596,70.38
SGDM,128,0.2,0.0002,0.9,72.22,0.0173534092095494,72.22
SGDM,128,0.2,0.0005,0.9,73.15,0.0333001762652397,73.15
SGDM,128,0.2,0.001,0.9,71.74,0.0989304192209243,71.79
SGDM,128,0.2,0.002,0.9,68.09,0.3280190099239349,68.12
SGDM,128,0.2,0.005,0.9,1.0,4.605501484375,4.11
SGDM,128,0.2,0.01,0.9,1.0,4.60546875,1.05
SGDM,128,0.3,0.0001,0.9,71.3,0.0189832023262977,71.33
SGDM,128,0.3,0.0002,0.9,72.12,0.0249150109145045,72.3
SGDM,128,0.3,0.0005,0.9,72.17,0.0599152021384239,72.29
SGDM,128,0.3,0.001,0.9,70.23,0.2104436028671264,70.32
SGDM,128,0.3,0.002,0.9,62.49,0.8441173057556153,62.49
SGDM,128,0.3,0.005,0.9,1.0,4.6055078125,2.29
SGDM,128,0.3,0.01,0.9,1.0,4.60546875,1.1
SGDM,64,0.05,0.0001,0.9,70.83,0.0168874430012702,71.18
SGDM,64,0.05,0.0002,0.9,72.27,0.0159439862656593,72.37
SGDM,64,0.05,0.0005,0.9,73.37,0.0240550871896743,73.43
SGDM,64,0.05,0.001,0.9,73.62,0.0419798446655273,73.71
SGDM,64,0.05,0.002,0.9,72.71,0.1063437451410293,72.79
SGDM,64,0.05,0.005,0.9,68.53,0.4923782615280151,68.61
SGDM,256,0.2,0.0001,0.9,69.03,0.0130999774384498,69.16
SGDM,256,0.2,0.0002,0.9,71.21,0.0098575555631518,71.21
SGDM,256,0.2,0.0005,0.9,72.08,0.0165384085988998,72.1
SGDM,256,0.2,0.001,0.9,72.91,0.0369479028904438,72.91
SGDM,256,0.2,0.002,0.9,71.76,0.0933682980561256,71.84
SGDM,256,0.2,0.005,0.9,62.83,0.7072151519966126,62.83
SGDM,512,0.4,0.0001,0.9,67.04,0.0424686980509758,67.04
SGDM,512,0.4,0.0002,0.9,69.08,0.0251834925758838,69.17
SGDM,512,0.4,0.0005,0.9,71.76,0.0244741097110509,71.89
SGDM,512,0.4,0.001,0.9,71.72,0.0435715287697315,72.0
SGDM,512,0.4,0.002,0.9,70.8,0.1227141814756393,70.8
SGDM,512,0.4,0.005,0.9,1.0,4.60546875,3.28
